Scenario,VWAP,C_Protected_Cost,Alpha_Bps,Max_C_Score,Total_Size_Score
COVID_2020,209.95,234.36,-1162.57,0.979,0.24
QT_2022,303.5,300.29,105.89,0.962,4.14
