Scenario,Benchmark_VWAP,Bucket_B_Avg_Cost,Alpha_Bps,Max_Deployment_Score
COVID_CRASH_2020,209.95,231.04,-1004.68,0.068
QT_BEAR_2022,303.5,302.57,30.83,0.063
