Scenario,VWAP,Bucket_B_Cost,Alpha_Bps,BloodChip_Days,Max_Size
COVID_CRASH_2020,209.95,230.54,-980.8,0,0.04
QT_BEAR_2022,303.5,302.16,44.07,0,0.06
