experiment,mean_ir_diff,all_passed,accuracy,brier,entropy,ir_diff_2018,ir_diff_2019,ir_diff_2020,ir_diff_2021,ir_diff_2022,ir_diff_2023,ir_diff_2024,ir_diff_2025,ir_diff_2026
expanding,-0.2569548717988038,False,0.6482342007434945,0.49899310310126027,0.3368892201342701,-0.7457817580934444,-0.35826347259979885,1.0670792845041819,-0.69305445188869,0.23277518260055485,-0.81688777749455,-0.23772629175527782,0.4789736537099827,-1.2397082151721925
rolling_252,-0.08986458148536755,False,0.6463754646840149,0.49356030411509516,0.34068556962390517,0.20928197937087623,0.19051145718700946,0.8787410930353541,-0.8876295761769957,0.38923421674645287,-0.7676979892317788,-0.1160271231969845,0.5508231146193996,-1.2560184057216413
rolling_504,-0.09267879376936174,False,0.6547397769516728,0.49050138739856497,0.3394739279055891,-0.7461019566612628,-0.011916065496999195,1.5237094006427274,-0.6084415085677503,0.16821495065099923,-0.30227583474999964,-0.1928438075637564,0.5918338179525344,-1.2562881401307484
rolling_756,-0.09784531584765044,False,0.6528810408921933,0.48898033992673584,0.3388184342780865,-0.416876614953881,0.0675947341131744,1.2588233489855438,-0.5523960225883263,0.28897060321482115,-0.6346833110910535,-0.09538202760255654,0.4954111247248423,-1.2920696774314182
rolling_1008,-0.12178988103266998,False,0.6519516728624535,0.4915992157317993,0.3394521670392046,-0.5769986095476451,-0.3316719168686353,1.4622576395625013,-0.6899690823267371,0.289876693744602,-0.2594713458095903,-0.1986778514713119,0.4643835203985993,-1.2558379769758128
ewm_504,-0.15900502857684998,False,0.6547397769516728,0.4891234487225263,0.3398485668533983,-1.0960723770363512,0.0007322898893953322,0.9416951924914225,-0.3722209217311152,0.32069540751418546,-0.40511937262436937,-0.11575874248499773,0.532034149512896,-1.2370308827227157
