window,rows,actual_mean_pacing,expected_mean_pacing,mae,rmse,error_variance,within_tolerance_ratio,actual_cash_total,expected_cash_total
dot-com,130,0.16153846153846155,0.16153846153846155,0.0,0.0,0.0,1.0,1697.062328338623,1697.062328338623
gfc,71,0.11971830985915492,0.13380281690140844,0.014084507042253521,0.08391813582966891,0.006843880182503472,0.971830985915493,384.27961921691895,427.0350685119629
covid,5,1.1,1.1,0.0,0.0,0.0,1.0,1128.4811553955078,1128.4811553955078
qt-2022,39,0.6923076923076923,0.6923076923076923,0.0,0.0,0.0,1.0,9008.127624511719,9008.127624511719
bull-2003-2007,231,0.961038961038961,0.961038961038961,0.0,0.0,0.0,1.0,7456.509627342224,7456.509627342224
bull-2009-2020,551,0.6687840290381125,0.6687840290381125,0.0,0.0,0.0,1.0,41423.79260826111,41423.79260826111
bull-2023-now,161,0.9720496894409938,0.9720496894409938,0.0,0.0,0.0,1.0,73261.80360412598,73261.80360412598
