date,weight,P_cp,vol_guard_cap,ed_accel_signal,spread_signal,fisher_rho_signal,lambda_macro,s_t,sigma2_spread,roll_threshold,momentum_lockout,qqq_price,qqq_sma200
2020-01-02,0.9655089252237883,0.006112104067663643,1.9999999999999991,0.0,-1.1190258327223603,-0.1425373945576636,0.006111111111111111,0.006081719667944038,0.6925371473266209,1.0,False,208.31756591796875,183.28446487426757
2020-01-03,0.9655089252237883,0.0055568648965939275,1.9999999999999991,0.0,-0.5140038905049436,-0.14984099385188102,0.005555555555555555,0.006039731286236029,0.6894225628626663,1.0,False,206.40936279296875,183.45583702087401
2020-01-06,0.9655089252237883,0.005278828733266397,1.9999999999999991,0.0,-0.5768185582044145,-0.15649733540495914,0.005277777777777778,0.005978859081998459,0.6865844309873125,1.0,False,207.73928833007812,183.6204047393799
2020-01-07,0.9655089252237883,0.007418191513088959,1.9999999999999991,0.0,-0.5959431731125185,-0.15272212098594543,0.007416666666666667,0.006698525297543709,0.6838417681361666,1.0,False,207.71035766601562,183.80402740478516
2020-01-08,0.9655089252237883,0.008024687308286262,1.9999999999999991,0.032335210697185535,-0.7302630168440627,-0.0827210388995714,0.008020833333333333,0.007361606302914985,0.6818377852530413,1.0,False,209.27163696289062,183.99708435058594
2020-01-09,0.9655089252237883,0.007558086927950935,1.9999999999999991,0.03084052120465114,-1.1011730589236441,-0.2450234361372019,0.007555555555555556,0.007459846615432961,0.6828663575427107,1.0,False,211.04483032226562,184.19503311157226
2020-01-10,0.9655089252237883,0.007550310266765199,1.9999999999999991,0.0,-1.085862311639424,-0.24462231194291872,0.007548611111111111,0.007505078441099079,0.6836822432792509,1.0,False,210.5052032470703,184.3957898712158
2020-01-13,0.9655089252237883,0.0077101513730755,1.9999999999999991,0.0,-1.177086433983323,-0.22406090469248152,0.0077083333333333335,0.007607614907087289,0.6853958852637899,1.0,False,212.93377685546875,184.6067268371582
2020-01-14,0.9655089252237883,0.007362863881236994,1.9999999999999991,0.0,-1.1399397118491903,-0.2051959777203375,0.007361111111111111,0.007588034825019266,0.6866432343158713,1.0,False,212.0953369140625,184.80700775146485
2020-01-15,0.9655089252237883,0.006939039924821816,1.9999999999999991,0.0,-1.11907565014759,-0.19720131216578635,0.0069375,0.00753611523300347,0.6876138091887567,1.0,False,212.1820526123047,184.9963271331787
2020-01-16,0.9655089252237883,0.006772342456024768,1.9999999999999991,-0.003550344420674423,-1.1532739492124513,-0.1623851280164523,0.0067708333333333336,0.007475013410845174,0.6888793885177045,1.0,False,214.21554565429688,185.19251014709474
2020-01-17,0.9655089252237883,0.005015020797071587,1.9999999999999991,-0.0032534753628574165,-1.2363022456534056,-0.12296005802401457,0.005013888888888889,0.007278214001743287,0.6909862244266509,1.0,False,215.275634765625,185.388966217041
2020-01-21,0.9655089252237883,0.005007720757986103,1.9999999999999991,-0.0008645441794382647,-0.9125528152042284,-0.12374725933796701,0.005006944444444445,0.007096574542242712,0.6899407137132211,1.0,False,215.17922973632812,185.58527557373046
2020-01-22,0.9655089252237883,0.004896576377886871,1.9999999999999991,-9.14119431273952e-05,-0.8832481455583191,-0.12593268501754842,0.004895833333333334,0.006920574689094245,0.6886511131558991,1.0,False,215.74786376953125,185.7798794555664
2020-01-23,0.9655089252237883,0.005952305567249293,1.9999999999999991,-2.8536014880453653e-05,-0.8474718373172824,-0.12923237787746605,0.00595138888888889,0.006843113159346648,0.6870871992239593,1.0,False,216.44168090820312,185.97570213317871
