window,rows,critical_days,raw_critical_recall,stable_critical_recall,raw_stable_divergence,mean_entropy,mean_beta_gap,first_raw_bust_date,first_stable_bust_date
2018Q4,66,66,0.9848484848484849,0.9848484848484849,0.10606060606060606,0.3548819015479347,0.2509472369958342,2018-11-15,2018-11-16
2020_COVID,54,16,1.0,1.0,0.1111111111111111,0.2648691010081005,0.1663796990794958,2020-02-28,2020-03-02
2022_H1,129,129,0.8837209302325582,0.875968992248062,0.06201550387596899,0.3803049738656999,0.2779093760248313,2022-01-31,2022-01-31
