date,beta_expectation,expected_target_beta,protected_beta,overlay_beta,beta_overlay_multiplier,deployment_overlay_multiplier,overlay_state,target_beta,raw_target_beta,entropy,prior_details,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,deployment_multiplier,expected_deployment_state,expected_deployment_multiplier,deployment_rank_abs_error,actual_deployment_cash,expected_deployment_cash,deployment_pacing_error,lock_active,target_bucket,close,actual_regime_probability,brier,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY
2020-12-23,1.0046163791022706,1.1,0.8695715072764245,0.626306269401323,0.720247,0.806325,PENALTY,0.8722493214588039,1.0046163791022706,0.5197159533542915,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.07328762729707465, 'LATE_CYCLE': 0.2127687701929809, 'BUST': 0.24363625578992645, 'RECOVERY': 0.470307346720018}, 'posterior_prior': {'MID_CYCLE': 0.010673639241024093, 'LATE_CYCLE': 0.08525778475682115, 'BUST': 0.10332489085723481, 'RECOVERY': 0.80074368514492}, 'transition_prior': {'MID_CYCLE': 0.034707629108665726, 'LATE_CYCLE': 0.1574455041560496, 'BUST': 0.19976306141925854, 'RECOVERY': 0.6080838053160262}}",RECOVERY,RECOVERY,RECOVERY,RECOVERY,DEPLOY_FAST,2.0,DEPLOY_FAST,2.0,0,2000.0,2000.0,0.0,False,QQQ,298.7092590332031,0.7816840983380199,0.06862212311109965,0.015450620323818106,0.09293536645849844,0.10992991487966365,0.7816840983380199
2020-12-24,1.0107747360125976,1.1,0.8785466078248112,0.543921383103458,0.619115,0.736311,PENALTY,0.8722493214588039,1.0107747360125976,0.5097205968955921,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.07299844253757562, 'LATE_CYCLE': 0.2121696037448462, 'BUST': 0.24296772472196315, 'RECOVERY': 0.47186422899561503}, 'posterior_prior': {'MID_CYCLE': 0.015450620323818106, 'LATE_CYCLE': 0.09293536645849844, 'BUST': 0.10992991487966365, 'RECOVERY': 0.7816840983380199}, 'transition_prior': {'MID_CYCLE': 0.03734475089207491, 'LATE_CYCLE': 0.16040431055610066, 'BUST': 0.20145977685124056, 'RECOVERY': 0.6007911617005839}}",RECOVERY,RECOVERY,RECOVERY,RECOVERY,DEPLOY_FAST,2.0,DEPLOY_FAST,2.0,0,2000.0,2000.0,0.0,False,QQQ,300.0274353027344,0.7913096288734409,0.06201180260069788,0.018818343764155657,0.08859928935485045,0.10127273800755297,0.7913096288734409
2020-12-28,1.0033694586365751,1.1,0.8602580577131423,0.6492505202850319,0.754716,0.830188,PENALTY,0.8722493214588039,1.0033694586365751,0.5386038480030334,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.0727275423003751, 'LATE_CYCLE': 0.21155175275828406, 'BUST': 0.24225925045964067, 'RECOVERY': 0.47346145448170013}, 'posterior_prior': {'MID_CYCLE': 0.018818343764155657, 'LATE_CYCLE': 0.08859928935485045, 'BUST': 0.10127273800755297, 'RECOVERY': 0.7913096288734409}, 'transition_prior': {'MID_CYCLE': 0.03827864567109556, 'LATE_CYCLE': 0.15853246138787003, 'BUST': 0.19841073013244767, 'RECOVERY': 0.6047781628085868}}",RECOVERY,RECOVERY,RECOVERY,RECOVERY,DEPLOY_FAST,2.0,DEPLOY_FAST,2.0,0,2000.0,2000.0,0.0,False,QQQ,303.05126953125,0.7729839109749859,0.07340478951458314,0.02005269585538785,0.09850921374629878,0.10845417942332751,0.7729839109749859
2020-12-29,1.0054392175621851,1.1,0.842985594819703,0.6974432888884865,0.827349,0.880472,PENALTY,0.8722493214588039,1.0054392175621851,0.5798809632556677,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.07246416831643827, 'LATE_CYCLE': 0.21098654059606137, 'BUST': 0.24159022573516253, 'RECOVERY': 0.4749590653523379}, 'posterior_prior': {'MID_CYCLE': 0.02005269585538785, 'LATE_CYCLE': 0.09850921374629878, 'BUST': 0.10845417942332751, 'RECOVERY': 0.7729839109749859}, 'transition_prior': {'MID_CYCLE': 0.03957286773097804, 'LATE_CYCLE': 0.16166348007885892, 'BUST': 0.20056117267918627, 'RECOVERY': 0.5982024795109768}}",RECOVERY,RECOVERY,RECOVERY,RECOVERY,DEPLOY_FAST,2.0,DEPLOY_FAST,2.0,0,2000.0,2000.0,0.0,False,QQQ,303.3227233886719,0.758012008586462,0.0802907545303195,0.04229354381911121,0.09828413500250727,0.10141031259191945,0.758012008586462
2020-12-30,0.9614322533549495,1.1,0.740015633417304,0.5593149159712997,0.755815,0.830949,PENALTY,0.8722493214588039,0.9614322533549495,0.7528965388526567,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.0723133153354528, 'LATE_CYCLE': 0.21042302909667132, 'BUST': 0.2408893268268944, 'RECOVERY': 0.47637432874098146}, 'posterior_prior': {'MID_CYCLE': 0.04229354381911122, 'LATE_CYCLE': 0.09828413500250728, 'BUST': 0.10141031259191946, 'RECOVERY': 0.7580120085864621}, 'transition_prior': {'MID_CYCLE': 0.04906252413241763, 'LATE_CYCLE': 0.16358550906282396, 'BUST': 0.19788856147081407, 'RECOVERY': 0.5894634053339444}}",RECOVERY,RECOVERY,RECOVERY,RECOVERY,DEPLOY_FAST,2.0,DEPLOY_FAST,2.0,0,2000.0,2000.0,0.0,False,QQQ,303.3324584960937,0.6336067907840223,0.1825286707633662,0.07361887161995814,0.1481958102485235,0.14457852734749618,0.6336067907840223
2020-12-31,1.0034378340012475,1.1,0.8329048274376247,0.673592622379148,0.808727,0.86758,PENALTY,0.8722493214588039,1.0034378340012475,0.5989093159994766,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.07231984311078284, 'LATE_CYCLE': 0.2101118932928189, 'BUST': 0.24040777327893956, 'RECOVERY': 0.47716049031745866}, 'posterior_prior': {'MID_CYCLE': 0.07361887161995814, 'LATE_CYCLE': 0.1481958102485235, 'BUST': 0.14457852734749618, 'RECOVERY': 0.6336067907840223}, 'transition_prior': {'MID_CYCLE': 0.0668659106182197, 'LATE_CYCLE': 0.1847056430761856, 'BUST': 0.21193685667115164, 'RECOVERY': 0.5364915896344431}}",RECOVERY,RECOVERY,RECOVERY,RECOVERY,DEPLOY_FAST,2.0,DEPLOY_FAST,2.0,0,2000.0,2000.0,0.0,False,QQQ,304.07867431640625,0.7484359617670309,0.08595886009857363,0.05195069968184135,0.09466969033369455,0.10494364821743332,0.7484359617670309
2021-01-04,0.9280821794345994,1.0,0.6935022277426026,0.6935022277426026,1.0,1.0,NEUTRAL,0.8722493214588039,0.9280821794345994,0.8298246349134949,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.07221799748821711, 'LATE_CYCLE': 0.20953468281405008, 'BUST': 0.23973045328262554, 'RECOVERY': 0.4785168664151073}, 'posterior_prior': {'MID_CYCLE': 0.05195069968184135, 'LATE_CYCLE': 0.09466969033369455, 'BUST': 0.10494364821743332, 'RECOVERY': 0.7484359617670309}, 'transition_prior': {'MID_CYCLE': 0.05331976182292487, 'LATE_CYCLE': 0.1641298430321112, 'BUST': 0.19745524823024213, 'RECOVERY': 0.5850951469147219}}",RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,2.0,DEPLOY_BASE,1.0,1,2000.0,1000.0,1.0,False,QQQ,299.7850952148437,0.09368956946934344,1.1962725642895533,0.09368956946934344,0.15011383284694158,0.19585785627397326,0.5603387414097417
2021-01-05,0.9542319447992265,1.0,0.7378392804297235,0.6972714011131365,0.945018,0.961935,PENALTY,0.8722493214588039,0.9542319447992265,0.7490750920977075,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.0723253552489234, 'LATE_CYCLE': 0.20923757883874075, 'BUST': 0.23951109050027508, 'RECOVERY': 0.4789259754120608}, 'posterior_prior': {'MID_CYCLE': 0.09368956946934344, 'LATE_CYCLE': 0.15011383284694158, 'BUST': 0.19585785627397326, 'RECOVERY': 0.5603387414097417}, 'transition_prior': {'MID_CYCLE': 0.0767117881863222, 'LATE_CYCLE': 0.1929526298181901, 'BUST': 0.22302594034039502, 'RECOVERY': 0.5073096416550926}}",RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,2.0,DEPLOY_BASE,1.0,1,2000.0,1000.0,1.0,False,QQQ,302.2566223144531,0.06884044362753453,1.3133237967655602,0.06884044362753453,0.13218314046105575,0.16538178116617244,0.6335946347452373
2021-01-06,0.9402956325304179,1.0,0.7115846432153151,0.7115846432153151,1.0,1.0,NEUTRAL,0.8722493214588039,0.9402956325304179,0.7972012139776762,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.07230793070683636, 'LATE_CYCLE': 0.2088523070010663, 'BUST': 0.2391404442943719, 'RECOVERY': 0.4796993179977254}, 'posterior_prior': {'MID_CYCLE': 0.06884044362753453, 'LATE_CYCLE': 0.13218314046105575, 'BUST': 0.16538178116617244, 'RECOVERY': 0.6335946347452373}, 'transition_prior': {'MID_CYCLE': 0.06444341043230928, 'LATE_CYCLE': 0.18183468517992027, 'BUST': 0.21461613138982616, 'RECOVERY': 0.5391057729979443}}",RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,2.0,DEPLOY_BASE,1.0,1,2000.0,1000.0,1.0,False,QQQ,298.06964111328125,0.0826054759179126,1.245780622825138,0.0826054759179126,0.14555154836668496,0.17963059227964248,0.59221238343576
2021-01-07,0.9451634898450374,1.0,0.6982892960339859,0.6643091423103801,0.951338,0.966311,PENALTY,0.8722493214588039,0.9451634898450374,0.8374647712499742,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.07235941838579131, 'LATE_CYCLE': 0.20853580349742873, 'BUST': 0.23884289530649316, 'RECOVERY': 0.48026188281028687}, 'posterior_prior': {'MID_CYCLE': 0.0826054759179126, 'LATE_CYCLE': 0.14555154836668496, 'BUST': 0.17963059227964248, 'RECOVERY': 0.59221238343576}, 'transition_prior': {'MID_CYCLE': 0.0714818533264204, 'LATE_CYCLE': 0.18829769245686853, 'BUST': 0.21879203570313546, 'RECOVERY': 0.5214284185135757}}",RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,2.0,DEPLOY_BASE,1.0,1,2000.0,1000.0,1.0,False,QQQ,305.280517578125,0.12719091954339679,1.128088122682411,0.12719091954339679,0.14322859839271562,0.165248064471347,0.5643324175925405
