date,variant,shadow_state,prob_RECOVERY,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,entropy,effective_entropy,orthogonal_confidence,fdas_triggered,w_base,m_entropy,m_fdas,w_final_raw,w_final
2018-01-01,fdas_guardrail,MID_CYCLE,0.020405221596352007,0.9232160636081019,0.017509751350207253,0.03886896344533896,0.25263762644594606,0.25263762644594606,0.37667426327028203,False,1.0,1.0,1.0,1.0,1.0
2018-01-03,fdas_guardrail,MID_CYCLE,0.03245256784134165,0.9320704089601693,0.01204363935033588,0.023433383848153033,0.2293869049104228,0.2293869049104228,0.480822544598812,False,1.0,1.0,1.0,1.0,1.0
2018-01-04,fdas_guardrail,MID_CYCLE,0.066760621913802,0.8873451666286813,0.015715389123003822,0.030178822334512776,0.3301361852671751,0.3301361852671751,0.5319026289418503,False,1.0,1.0,1.0,1.0,1.0
2018-01-05,fdas_guardrail,MID_CYCLE,0.17802644054539185,0.75452379360348,0.023324930755341117,0.04412483509578699,0.5374977067080756,0.5374977067080756,0.5350580334175854,False,1.0,1.0,1.0,1.0,1.0
2018-01-08,fdas_guardrail,MID_CYCLE,0.21773554612516913,0.7078443650557225,0.025861765089192103,0.048558323729916336,0.5900098251553957,0.5900098251553957,0.5233736427844622,False,1.0,1.0,1.0,1.0,1.0
2018-01-09,fdas_guardrail,MID_CYCLE,0.21064710157883837,0.7156544530427084,0.02564232827617283,0.04805611710228044,0.5823694161186576,0.5823694161186576,0.49956314291615506,False,1.0,1.0,1.0,1.0,1.0
2018-01-10,fdas_guardrail,MID_CYCLE,0.10346158529552331,0.8375514207578308,0.020573901439893363,0.038413092506752615,0.424360606999176,0.424360606999176,0.4480454801437842,False,1.0,1.0,1.0,1.0,1.0
2018-01-11,fdas_guardrail,MID_CYCLE,0.047122111857832376,0.9145580769179856,0.01321895650381227,0.025100854720369797,0.270737105541155,0.270737105541155,0.46589017394193255,False,1.0,1.0,1.0,1.0,1.0
2018-01-15,fdas_guardrail,MID_CYCLE,0.05964089576538432,0.8863807098630339,0.01873511847994292,0.035243275891638955,0.33721520021872303,0.33721520021872303,0.4009267174653917,False,1.0,1.0,1.0,1.0,1.0
2018-01-17,fdas_guardrail,MID_CYCLE,0.10940571273911448,0.8085613855642279,0.028577090282287592,0.05345581141437026,0.4847902222244315,0.4847902222244315,0.35367084133757676,False,1.0,1.0,1.0,1.0,1.0
2018-01-18,fdas_guardrail,MID_CYCLE,0.1901934908680089,0.7047033246653226,0.036613884543136695,0.06848929992353182,0.6254204617507717,0.6254204617507717,0.33654858674100707,False,1.0,1.0,1.0,1.0,1.0
2018-01-22,fdas_guardrail,MID_CYCLE,0.08216230927829869,0.8647354391939918,0.018476174889240356,0.03462607663846924,0.37596485702366267,0.37596485702366267,0.3754123874571166,False,1.0,1.0,1.0,1.0,1.0
2018-01-23,fdas_guardrail,MID_CYCLE,0.06971707117086455,0.8885838972911786,0.014561847203159827,0.027137184334797063,0.3246858356704958,0.3246858356704958,0.4001671591475285,False,1.0,1.0,1.0,1.0,1.0
2018-01-24,fdas_guardrail,MID_CYCLE,0.0343519875261215,0.9332563275729985,0.011325406626778337,0.021066278274101524,0.22530008999740053,0.22530008999740053,0.39832033989959137,False,1.0,1.0,1.0,1.0,1.0
2018-01-25,fdas_guardrail,MID_CYCLE,0.03095047283299633,0.9375325152203069,0.011059933309712413,0.02045707863698453,0.21454581448150273,0.21454581448150273,0.38718703182324316,False,1.0,1.0,1.0,1.0,1.0
2018-01-26,fdas_guardrail,MID_CYCLE,0.03888816468100005,0.9280090584202584,0.011616409115355188,0.021486367783386227,0.2379562284504687,0.2379562284504687,0.4017589918785858,False,1.0,1.0,1.0,1.0,1.0
2018-01-29,fdas_guardrail,MID_CYCLE,0.048292687276541874,0.9154426875386037,0.012803510212026215,0.023461114972828045,0.267663773099238,0.267663773099238,0.4320218970719294,False,1.0,1.0,1.0,1.0,1.0
2018-01-30,fdas_guardrail,MID_CYCLE,0.04634573920155296,0.9024782843055388,0.018002383521637418,0.033173592971270545,0.30316075671326614,0.30316075671326614,0.2991212519455099,False,1.0,1.0,1.0,1.0,1.0
2018-01-31,fdas_guardrail,MID_CYCLE,0.019895336972351796,0.9433187544247932,0.012830449686190477,0.023955458916664493,0.20072131670310078,0.20072131670310078,0.27244525424927385,False,1.0,1.0,1.0,1.0,1.0
2018-02-01,fdas_guardrail,MID_CYCLE,0.01789247213450517,0.9439765998854605,0.01336460492733378,0.024766323052700587,0.19885736151971017,0.19885736151971017,0.29131603704795206,False,1.0,1.0,1.0,1.0,1.0
2018-02-05,fdas_guardrail,MID_CYCLE,0.002187711489942217,0.8084350005967375,0.06055013114613305,0.1288271567671872,0.44660095359400953,0.44660095359400953,0.4069682230902783,True,1.0,1.0,0.15,0.15,0.5
2018-02-06,fdas_guardrail,MID_CYCLE,0.002387180357811281,0.8532527776007355,0.0454530502846553,0.09890699175679805,0.37448847183183137,0.37448847183183137,0.392044828909488,False,1.0,1.0,1.0,1.0,1.0
2018-02-07,fdas_guardrail,MID_CYCLE,0.0023607640660888766,0.8159578924786539,0.05632585277414855,0.12535549068110852,0.43466952919945956,0.43466952919945956,0.4125093203915808,False,1.0,1.0,1.0,1.0,1.0
2018-02-08,fdas_guardrail,MID_CYCLE,0.001567004251416588,0.563223967032372,0.1373817659593223,0.2978272627568891,0.6974691208941651,0.6974691208941651,0.4933166055295307,True,1.0,0.8813271977645872,0.15,0.13219907966468808,0.5
2018-02-09,fdas_guardrail,MID_CYCLE,0.00165508909515008,0.672095425303653,0.10127656500935328,0.22497292059184368,0.6096697450779559,0.6096697450779559,0.4854939436555456,True,1.0,1.0,0.15,0.15,0.5
2018-02-12,fdas_guardrail,MID_CYCLE,0.0017488340554937,0.8226222398440374,0.05291200491688909,0.12271692118357988,0.42176215583218785,0.42176215583218785,0.46886527132666084,True,1.0,1.0,0.15,0.15,0.5
2018-02-13,fdas_guardrail,MID_CYCLE,0.0018765743201022793,0.8632714876299691,0.0412149334666941,0.09363700458323446,0.3548315329027912,0.3548315329027912,0.44082832483635576,True,1.0,1.0,0.15,0.15,0.5
2018-02-14,fdas_guardrail,MID_CYCLE,0.00234951828592056,0.8583266868459157,0.04219459256932561,0.09712920229883816,0.36456383140475,0.36456383140475,0.4364239927185883,True,1.0,1.0,0.15,0.15,0.5
2018-02-15,fdas_guardrail,MID_CYCLE,0.0023371920285744354,0.9243988122322698,0.022450096680789698,0.05081389905836601,0.2333302366162526,0.2333302366162526,0.38650437567317847,True,1.0,1.0,0.15,0.15,0.5
2018-02-16,fdas_guardrail,MID_CYCLE,0.0026041579504660867,0.9075081441501952,0.027975752253493604,0.061911945645845075,0.2711308537639457,0.2711308537639457,0.3669696562364785,False,1.0,1.0,1.0,1.0,1.0
2018-02-19,fdas_guardrail,MID_CYCLE,0.003168580308649687,0.861893223124479,0.042377414172037525,0.09256078239483363,0.36108984170397285,0.36108984170397285,0.36169080755778726,False,1.0,1.0,1.0,1.0,1.0
2018-02-21,fdas_guardrail,MID_CYCLE,0.0035673294641036498,0.8297639563682182,0.052477135215622674,0.11419157895205556,0.4165078822787081,0.4165078822787081,0.3700592785278516,False,1.0,1.0,1.0,1.0,1.0
2018-02-22,fdas_guardrail,MID_CYCLE,0.0028550000174233548,0.8747928013153525,0.038622730717449746,0.08372946794977425,0.33692981971645275,0.33692981971645275,0.34381137712966353,False,1.0,1.0,1.0,1.0,1.0
2018-02-23,fdas_guardrail,MID_CYCLE,0.00307433808578255,0.8807170018403409,0.036354724312880456,0.07985393576099617,0.3260362976734861,0.3260362976734861,0.32244005424580896,False,1.0,1.0,1.0,1.0,1.0
