date,target_beta,final_beta_base,raw_target_beta,raw_beta_base,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close,actual_regime_probability,brier,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY
2018-01-01,1.0,1.0,3.273520646291768,0.9507650289311754,0.3149056757869382,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,147.63458251953125,0.03405376380617304,1.7164710166927686,0.881032218685244,0.03405376380617304,0.08485936676408025,5.465074450269141e-05
2018-01-02,1.0,1.0,1.6365528440725488,0.6270035977447448,0.5006089432131181,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,150.22215270996094,0.03882635493839485,1.5106558232207217,0.230703068709445,0.03882635493839485,0.7304636481713204,6.928180839759253e-06
2018-01-03,1.0,1.0,2.306369510156622,0.9292031719437205,0.40794676862570434,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,151.68182373046875,0.051680220672908526,1.5984893059435954,0.827379057136469,0.051680220672908526,0.12092476023460011,1.5961956022386776e-05
2018-01-04,1.0,0.3343035604992714,0.4547783617294325,0.5837444858024206,0.40208914818418595,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,151.94723510742188,0.03257094928837779,1.6293588616845354,0.14794394521865759,0.03257094928837779,0.8194830581486673,2.0473442973082517e-06
2018-01-05,1.0,0.3343035604992714,2.108082739128649,0.8759123485791883,0.6208195152771343,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,153.47320556640625,0.13853623074492383,1.2263902779136115,0.6686637430226025,0.13853623074492383,0.19276734649179078,3.267974068305429e-05
2018-01-08,1.0,0.3343035604992714,0.49224945192122255,0.8338536367141153,0.7399896847894527,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,154.0703582763672,0.2471780679276955,0.8909456691507871,0.5193404902511898,0.2471780679276955,0.23343148980409528,4.995201701943936e-05
2018-01-09,1.0,0.3343035604992714,1.6062462762440464,0.8973170796905345,0.6277059405585729,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,154.0797576904297,0.2591438694461163,0.9674601288423718,0.6389370609292305,0.2591438694461163,0.10174342230451254,0.00017564732014062266
2018-01-10,1.0,0.3343035604992714,0.44394327444614184,0.8794192153325544,0.6749913676774912,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,153.71961975097656,0.30512035470083265,0.8282205981213657,0.5754675896948996,0.30512035470083265,0.11916319881284304,0.00024885679142468684
2018-01-11,0.09503423194059145,0.3343035604992714,0.17326008091523543,0.9344377722700234,0.43321005798595136,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,154.77174377441406,0.08486803974826938,1.51590947850402,0.8179233092012084,0.08486803974826938,0.09718247480895824,2.6176241564070065e-05
2018-01-12,0.09503423194059145,0.3343035604992714,0.30088993625061367,0.876001853429301,0.6235644037338782,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,True,CASH,155.90914916992188,0.14246385437149042,1.2160792992521758,0.6665016416361651,0.14246385437149042,0.1910147101593922,1.9793832952278994e-05
2018-01-15,0.09503423194059145,0.3343035604992714,0.4932772158980024,0.9377579714117626,0.46789009294863587,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,155.90914916992188,0.1451211581323061,1.3567023881863212,0.7883326761649433,0.1451211581323061,0.06645402255341877,9.214314933189487e-05
2018-01-16,0.09503423194059145,0.3343035604992714,0.3807660779840606,0.9341772419475893,0.4949756571196906,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,155.46368408203125,0.17777771877777584,1.2595105989309379,0.7614405211686385,0.17777771877777584,0.06057565050369011,0.00020610954989558995
2018-01-17,0.09503423194059145,0.3343035604992714,2.035942922915133,0.8988792180322939,0.6232727046127463,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,157.1412811279297,0.26246188994040137,0.9632595974350749,0.6401836248028335,0.26246188994040137,0.09727308750883713,8.139774792791145e-05
2018-01-18,0.09503423194059145,0.3343035604992714,1.9204564295006643,0.9238446692455033,0.5401411459089369,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,157.16978454589844,0.2904314509316414,0.9576904781720745,0.6729720030975996,0.2904314509316414,0.0362144919420736,0.000382054028685263
2018-01-19,0.09503423194059145,0.3343035604992714,0.7834800283889884,0.9197397799816982,0.5568622858983415,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,157.66259765625,0.2781176677810974,0.9757939875182156,0.6724954626199798,0.2781176677810974,0.04929228903662439,9.458056229842281e-05
2018-01-22,0.09503423194059145,0.3343035604992714,1.5902836361967057,0.8866957052777524,0.6305344673061628,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,159.34976196289062,0.41480014901479245,0.6211853584426158,0.5244445064473141,0.41480014901479245,0.060699665621797495,5.567891609598751e-05
2018-01-23,0.37991282502969054,0.3343035604992714,0.8643400854300303,0.8281504833030208,0.5929653277266694,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_BASE,False,CASH,160.66726684570312,0.6631979944153406,0.1863258850465847,0.2583399271246058,0.6631979944153406,0.07842687609986089,3.520236019281445e-05
2018-01-24,0.37991282502969054,0.3343035604992714,0.0835930055174459,0.8441935404304356,0.5931719311833933,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,159.6246795654297,0.6304981091777685,0.23616628196150638,0.3100048279211823,0.6304981091777685,0.05942757337352612,6.948952752311628e-05
2018-01-25,0.37991282502969054,0.3343035604992714,1.666097765600815,0.7849569877843667,0.46922944528195043,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,159.5677947998047,0.7940931464998403,0.06377377001178056,0.09343799783418476,0.7940931464998403,0.11245211413710472,1.6741528870283973e-05
2018-01-26,0.37991282502969054,0.3343035604992714,2.067143656405418,0.803240716067427,0.313106063876058,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,162.01316833496094,0.8840092582025556,0.02082381981458975,0.07599825025521768,0.8840092582025556,0.039927802410474264,6.468913175245009e-05
2018-01-29,1.4002814073974699,0.5927757889481102,1.871647373403628,0.7923173460283414,0.20929593153850656,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QLD,161.22650146484375,0.9330231257872945,0.006877739389860319,0.02478229479024117,0.9330231257872945,0.04216247792741013,3.2101495054109214e-05
2018-01-30,1.4002814073974699,0.5927757889481102,0.9826680643891731,0.8138856444676773,0.40163049998904443,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,True,QLD,159.8995361328125,0.8271067661525254,0.048855071589097694,0.1313306571739871,0.8271067661525254,0.041415433281944164,0.0001471433915433449
2018-01-31,1.4002814073974699,0.5927757889481102,1.6211373240362157,0.8941202721189553,0.6032217740907357,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QLD,160.56297302246094,0.4199868045557291,0.62579668626834,0.5361573389662064,0.4199868045557291,0.04377992102950898,7.593544855547175e-05
2018-02-01,1.4002814073974699,0.5927757889481102,2.121844618065934,0.8967449774202314,0.6034876461701021,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QLD,159.1981658935547,0.4023836720952623,0.6637717341889317,0.5518586541750169,0.4023836720952623,0.04559009255614716,0.00016758117357369676
2018-02-02,0.037630444239840556,0.5927757889481102,0.09291772442075381,0.8737938901047103,0.6520267508019965,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,156.0229034423828,0.4493558321984971,0.5368260410952871,0.47784193043589185,0.4493558321984971,0.0726919453202521,0.00011029204535882395
2018-02-05,0.037630444239840556,0.5927757889481102,0.028806856940097873,0.8011237162541823,0.6043276553554502,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,True,CASH,149.87142944335938,0.6829571054561747,0.15304590007531585,0.1923745999260568,0.6829571054561747,0.12458615352726628,8.21410905023199e-05
2018-02-06,0.037630444239840556,0.5927757889481102,0.11967302493654505,0.9136401333958689,0.5785438715213798,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,153.8428497314453,0.24577788882577978,1.036302156681036,0.679639754006524,0.24577788882577978,0.0744375409262414,0.00014481624145488506
2018-02-07,0.037630444239840556,0.5927757889481102,1.0725753141946797,0.787179633567008,0.7540644164797976,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,151.8524169921875,0.49197212249793143,0.3882031550030167,0.27875719058701975,0.49197212249793143,0.22892168437485083,0.0003490025401979065
2018-02-08,0.037630444239840556,0.46557565551347313,1.0506158013134181,0.7691415361342258,0.3621167409011151,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,145.445068359375,0.8478196182075847,0.03906072982945698,0.029488418894299886,0.8478196182075847,0.12260622752344803,8.573537466732586e-05
2018-02-09,0.037630444239840556,0.46557565551347313,0.7982871754333575,0.7398993013526389,0.5054314298275461,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,147.95684814453125,0.7300478259989452,0.12668441191319224,0.04153881183538115,0.7300478259989452,0.2282207827735656,0.00019257939210798165
2018-02-12,0.8358382556886939,0.46557565551347313,1.678845585835056,0.6407185329507442,0.5030869230680522,BUST,LATE_CYCLE,BUST,LATE_CYCLE,DEPLOY_SLOW,False,CASH,150.58233642578125,0.4676182136271349,0.5660345757596227,0.0003298899393822768,0.4676182136271349,0.5316050232786285,0.0004468731548542943
2018-02-13,0.8358382556886939,0.46557565551347313,0.22091695046346368,0.6783578738825407,0.5468500809178026,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,151.3595428466797,0.5659719652731773,0.3625211719537503,0.01670122192025716,0.5659719652731773,0.41696735723913403,0.00035945556743150684
2018-02-14,0.8358382556886939,0.46557565551347313,1.4926038894776947,0.6862381313267243,0.5358723451937113,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,True,QQQ,154.19358825683594,0.5964381541000399,0.31484212484065666,0.010124442750997241,0.5964381541000399,0.38969663028027346,0.0037407728686893963
2018-02-15,0.8358382556886939,0.46557565551347313,1.5662868903688068,0.747373715475612,0.714041276389164,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,157.05599975585938,0.550638505866145,0.30984231020185615,0.16297038425491853,0.550638505866145,0.28522949056508773,0.0011616193138487235
2018-02-16,0.8358382556886939,0.46557565551347313,2.4446073017797576,0.888245204994635,0.6525482369690605,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,156.3546600341797,0.3449287545832979,0.7597028043589655,0.5685408505703903,0.3449287545832979,0.08570347262222766,0.0008269222240841513
