regime,probability_within_band_share,delta_within_band_share,acceleration_within_band_share,probability_mae,delta_mae,acceleration_mae
MID_CYCLE,0.4622813886713652,0.7160010441138084,0.5813103628295484,0.23887787749048092,0.041612707776052714,0.059200640210745004
LATE_CYCLE,0.34299138606108065,0.6765857478465153,0.5199686765857479,0.20575738090606724,0.04294930704679798,0.058480932113375364
BUST,0.705298877577656,0.8405116157661185,0.7084312190028713,0.10851033721766172,0.01865715251045446,0.02494377611458014
RECOVERY,0.37144348734012006,0.889584964761159,0.7491516575306708,0.16316550845408567,0.015488319640903952,0.020776482512384134
