window,rows,stable_vs_benchmark_regime,probability_within_band_share,delta_within_band_share,acceleration_within_band_share,transition_intensity_mean
2018_Q4,90,0.4444444444444444,0.4111111111111111,0.45,0.28055555555555556,0.24814710900948536
2020_COVID,59,0.423728813559322,0.22033898305084745,0.6059322033898306,0.3771186440677966,0.19490425009496307
2022_TIGHTENING,132,0.6363636363636364,0.3390151515151515,0.4791666666666667,0.30303030303030304,0.19855315517389552
2023_RECOVERY,100,0.49,0.43,0.4725,0.285,0.31803753983941624
2024_PULLBACK,90,0.05555555555555555,0.38333333333333336,0.4111111111111111,0.2861111111111111,0.2809131435845509
