regime,probability_within_band_share,delta_within_band_share,acceleration_within_band_share,probability_mae,delta_mae,acceleration_mae
MID_CYCLE,0.21197668256491786,0.4112347641759406,0.24377318494965552,0.3925606171766514,0.0756206728681182,0.10921349355152467
LATE_CYCLE,0.2368839427662957,0.6099629040805511,0.42183359830418654,0.3005720715671944,0.034945983362842103,0.043954576163640735
BUST,0.5511393746687865,0.5919448860625331,0.4122946475887652,0.14917328626361281,0.039726691926804655,0.05935690584485971
RECOVERY,0.3370429252782194,0.6809750927397986,0.5135135135135135,0.19656979907666033,0.049012056994097726,0.07196677467551642
