regime,probability_within_band_share,delta_within_band_share,acceleration_within_band_share,probability_mae,delta_mae,acceleration_mae
MID_CYCLE,0.43333333333333335,0.6763285024154589,0.5376811594202898,0.2605704995680897,0.04545774219013217,0.06481342596778521
LATE_CYCLE,0.3342995169082126,0.6434782608695652,0.48792270531400966,0.20201798629402984,0.045348778723178274,0.06178817457148428
BUST,0.7028985507246377,0.8140096618357487,0.6869565217391305,0.10300508115205205,0.018510458022718185,0.024856405414865466
RECOVERY,0.37922705314009664,0.8710144927536232,0.7135265700483092,0.15305584435670933,0.015473562355935822,0.020855747709851775
