window,rows,stable_vs_benchmark_regime,probability_within_band_share,delta_within_band_share,acceleration_within_band_share,transition_intensity_mean
2018_Q4,103,0.7378640776699029,0.5533980582524272,0.6796116504854369,0.5072815533980582,0.24724357022947946
2020_COVID,63,0.6349206349206349,0.4444444444444444,0.7103174603174603,0.5595238095238095,0.20197151270044275
2022_TIGHTENING,146,0.9315068493150684,0.571917808219178,0.761986301369863,0.5924657534246576,0.1931169041769024
2023_RECOVERY,113,0.6194690265486725,0.37389380530973454,0.7898230088495575,0.6061946902654868,0.3163228340054112
2024_PULLBACK,98,0.6632653061224489,0.5535714285714286,0.7525510204081632,0.6173469387755102,0.2807740868561311
