date,variant,shadow_state,prob_RECOVERY,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,entropy,effective_entropy,orthogonal_confidence,fdas_triggered,w_base,m_entropy,m_fdas,w_final_raw,w_final,prob_delta_MID_CYCLE,prob_acceleration_MID_CYCLE,prob_trend_MID_CYCLE,prob_delta_LATE_CYCLE,prob_acceleration_LATE_CYCLE,prob_trend_LATE_CYCLE,prob_delta_BUST,prob_acceleration_BUST,prob_trend_BUST,prob_delta_RECOVERY,prob_acceleration_RECOVERY,prob_trend_RECOVERY,stable_regime,Close,Volume,benchmark_prob_MID_CYCLE,benchmark_prob_delta_MID_CYCLE,benchmark_prob_acceleration_MID_CYCLE,benchmark_prob_lower_MID_CYCLE,benchmark_prob_upper_MID_CYCLE,benchmark_prob_delta_lower_MID_CYCLE,benchmark_prob_delta_upper_MID_CYCLE,benchmark_prob_acceleration_lower_MID_CYCLE,benchmark_prob_acceleration_upper_MID_CYCLE,benchmark_prob_LATE_CYCLE,benchmark_prob_delta_LATE_CYCLE,benchmark_prob_acceleration_LATE_CYCLE,benchmark_prob_lower_LATE_CYCLE,benchmark_prob_upper_LATE_CYCLE,benchmark_prob_delta_lower_LATE_CYCLE,benchmark_prob_delta_upper_LATE_CYCLE,benchmark_prob_acceleration_lower_LATE_CYCLE,benchmark_prob_acceleration_upper_LATE_CYCLE,benchmark_prob_BUST,benchmark_prob_delta_BUST,benchmark_prob_acceleration_BUST,benchmark_prob_lower_BUST,benchmark_prob_upper_BUST,benchmark_prob_delta_lower_BUST,benchmark_prob_delta_upper_BUST,benchmark_prob_acceleration_lower_BUST,benchmark_prob_acceleration_upper_BUST,benchmark_prob_RECOVERY,benchmark_prob_delta_RECOVERY,benchmark_prob_acceleration_RECOVERY,benchmark_prob_lower_RECOVERY,benchmark_prob_upper_RECOVERY,benchmark_prob_delta_lower_RECOVERY,benchmark_prob_delta_upper_RECOVERY,benchmark_prob_acceleration_lower_RECOVERY,benchmark_prob_acceleration_upper_RECOVERY,benchmark_regime,benchmark_expected_beta,benchmark_entropy,benchmark_entropy_lower,benchmark_entropy_upper,benchmark_ma_gap,benchmark_drawdown,benchmark_recent_drawdown_depth,benchmark_rebound_from_trough,benchmark_price_volume_divergence,benchmark_volume_ratio,benchmark_daily_rsi,benchmark_weekly_rsi,benchmark_monthly_rsi,benchmark_bearish_rsi_divergence,benchmark_bullish_rsi_divergence,benchmark_recent_damage,benchmark_recovery_impulse,benchmark_bust_pressure,benchmark_transition_tension,benchmark_transition_intensity,benchmark_uncertainty,benchmark_trend_strength,benchmark_conflict_score,benchmark_prob_trend_MID_CYCLE,benchmark_prob_trend_LATE_CYCLE,benchmark_prob_trend_BUST,benchmark_prob_trend_RECOVERY
2018-01-03,recovery_accelerated,MID_CYCLE,0.0098527296032147,0.9751986596620248,0.004664672436534199,0.01028393829822625,0.10184857623504605,0.0827564440771024,0.480822544598812,False,1.0,1.0,1.0,1.0,1.0,0.0026237049070857443,0.0026237049070857443,RISING,-0.0012319755351661004,-0.0012319755351661004,FALLING,-0.0033667863579467504,-0.0033667863579467504,FALLING,0.0019750569860270996,0.0019750569860270996,RISING,MID_CYCLE,151.6818389892578,29383600,0.44093488492100735,-0.025167586839096645,-0.003716497487886772,0.2678072526558982,0.6140625171861165,-0.06394357700717342,0.013608403328980126,-0.033033707142788984,0.025600712167015444,0.29574316935164335,0.022528883742815753,-0.0010849924789580745,0.12261553708653422,0.4688708016167525,-0.016247106425261018,0.061304873910892524,-0.03040220213386029,0.02823221717594414,0.07805667113869304,-0.0020467582791243444,-0.0007064918225115346,0.0,0.25118430340380216,-0.040822748447201115,0.03672923188895243,-0.03002370147741375,0.02861071783239068,0.1852652745886563,0.00468546137540532,0.00550798178935652,0.012137642323547165,0.35839290685376546,-0.03409052879267145,0.04346145154348209,-0.023809227865545696,0.03482519144425873,MID_CYCLE,0.9185818182720589,0.43443098995736984,0.2549769093689531,0.6138850705457866,0.07457245067368334,0.0,0.048120849210054883,0.09816228388461345,0.0,0.019510821001493817,68.6707079589998,69.97808567895561,81.49912706659218,0.14524141722105924,0.0,0.0,0.11825358292273942,0.0,0.05083449602737073,0.3535294220991587,0.6025252055711071,0.8258682175130683,0.11601615773414592,FALLING,RISING,FALLING,RISING
2018-01-04,recovery_accelerated,MID_CYCLE,0.015344710487935198,0.9703277260129074,0.004569840507811466,0.009757722991345868,0.11586158557718158,0.1270500813661142,0.5319026289418503,False,1.0,1.0,1.0,1.0,1.0,-0.004870933649117393,-0.007494638556203137,FALLING,-9.483192872273335e-05,0.001137143606443367,FALLING,-0.0005262153068803822,0.002840571051066368,FALLING,0.005491980884720499,0.003516923898693399,RISING,MID_CYCLE,151.94720458984375,24776100,0.4095939107183253,-0.03134097420268206,-0.006173387363585414,0.17659539304558003,0.6425924283910706,-0.08111676771670258,0.01843481931133846,-0.04340798875906999,0.03106121403189916,0.3240385129527804,0.028295343601137057,0.0057664598583213045,0.09103999528003515,0.5570370306255257,-0.021480449912883462,0.07807113711515758,-0.03146814153716327,0.04300106125380588,0.07530761955169621,-0.0027490515869968285,-0.0007022933078724841,0.0,0.30830613722444145,-0.05252484510101735,0.04702674192702369,-0.03793689470335706,0.03653230808761209,0.19105995677719806,0.005794682188541761,0.0011092208131364412,0.0,0.4240584744499433,-0.04398111132547876,0.05557047570256228,-0.036125380582348134,0.038343822208621016,MID_CYCLE,0.9142904951089065,0.5309362016430468,0.32110703506526506,0.7407653682208285,0.07519106202267078,0.0,0.03785379282621548,0.09312231714428232,0.047686235695043454,-0.01505798954670634,69.45768208664634,69.97808567895561,81.49912706659218,0.18753815281905425,0.0,0.0,0.1396231041832143,0.0,0.08709715954943853,0.553088158847385,0.6384038513502315,0.8351709091127597,0.14485184462626954,FALLING,RISING,FALLING,RISING
2018-01-05,recovery_accelerated,MID_CYCLE,0.03215305089718895,0.9520795910912282,0.005126021600813725,0.01064133641076905,0.15803928109581178,0.251074566743547,0.5350580334175854,False,1.0,1.0,1.0,1.0,1.0,-0.018248134921679204,-0.013377201272561812,FALLING,0.0005561810930022589,0.0006510130217249922,RISING,0.0008836134194231821,0.0014098287263035643,RISING,0.016808340409253754,0.011316359524533255,RISING,MID_CYCLE,153.47323608398438,26992300,0.3870951017868117,-0.02249880893151357,0.00884216527116849,0.10055733544838685,0.6736328681252366,-0.08167065203703033,0.0366730341740032,-0.03478892647866832,0.0524732570210053,0.34033205934058497,0.01629354638780456,-0.012001797213332499,0.0537942930021601,0.6268698256790098,-0.04287829671771221,0.07546538949332132,-0.05563288896316931,0.03162929453650431,0.07283907035727281,-0.0024685491944233945,0.000280502392573434,0.0,0.3593768366956977,-0.061640392299940165,0.056703293911093376,-0.043350589357263374,0.04391159414241024,0.19973376851533042,0.008673811738132364,0.0028791295495906033,0.0,0.4862715348537553,-0.050498031367384406,0.06784565484364913,-0.040751962200246204,0.04651022129942741,MID_CYCLE,0.9154481162524601,0.6211950287127419,0.3957153014697724,0.8466747559557114,0.07597006288990382,0.0,0.03156833308961893,0.1041007295962455,0.08046750475895756,-0.02244641265383185,73.56937656358335,77.2814889073992,81.49912706659218,0.0,0.0,0.0,0.15269365110062946,0.0,0.0362103771415309,0.7527840389025914,0.6411522037703303,0.8372329195849509,0.11438436498408727,FALLING,RISING,FALLING,RISING
2018-01-08,recovery_accelerated,MID_CYCLE,0.04700293569603212,0.9358485316835121,0.0056427357139721196,0.01150579690648352,0.19267249070091233,0.2930696184067077,0.5233736427844622,False,1.0,1.0,1.0,1.0,1.0,-0.016231059407716075,0.002017075513963129,FALLING,0.0005167141131583947,-3.9466979843864186e-05,RISING,0.0008644604957144704,-1.915292370871166e-05,RISING,0.014849884798843173,-0.001958455610410581,RISING,MID_CYCLE,154.0703582763672,23159100,0.36493398098681024,-0.022161120800001488,0.00033768813151208166,0.08987578924427914,0.6399921727293414,-0.07908944715843828,0.03476720555843531,-0.04171332169434064,0.0423886979573648,0.36000241527758087,0.019670355936995898,0.0033768095491913397,0.08494422353504977,0.6350606070201119,-0.0372579704214409,0.0765986822954327,-0.03867420027666138,0.04542781937504406,0.07060098822801956,-0.0022380821292532493,0.00023046706517014515,0.0,0.3456591799705507,-0.059166408487690045,0.054690244229183546,-0.041820542760682575,0.042281476891022865,0.20446261550758932,0.004728846992258895,-0.003944964745873469,0.0,0.4795208072501204,-0.0521994793661779,0.06165717335069569,-0.04599597457172619,0.03810604507997925,LATE_CYCLE,0.9025942117340567,0.6356982232626833,0.40394718472209745,0.8674492618032692,0.07687670702905036,0.0,0.028844189726846103,0.10839648216581543,0.15814998270027877,-0.04513938831967357,74.98826132551102,77.2814889073992,81.49912706659218,0.0,0.0,0.0,0.15410562031570663,0.0,0.07116749221512544,0.7216309218025504,0.5766567308766105,0.8385587435420103,0.1291258370290108,FALLING,RISING,FALLING,RISING
2018-01-09,recovery_accelerated,MID_CYCLE,0.06582675850784504,0.916422972055269,0.00599935468983776,0.01175091474704816,0.23526044860076087,0.2884720377070318,0.499563142916155,False,1.0,1.0,1.0,1.0,1.0,-0.019425559628243105,-0.00319450022052703,FALLING,0.0003566189758656404,-0.00016009513729275428,RISING,0.00024511784056464,-0.0006193426551498304,RISING,0.01882382281181292,0.003973938012969747,RISING,MID_CYCLE,154.079833984375,24782400,0.34034955123248434,-0.0245844297543259,-0.00242330895432441,0.09898248975432955,0.5817166127106391,-0.07539521478442086,0.026226355275769067,-0.04017513388539405,0.03532851597674523,0.38398716252575094,0.02398474724817007,0.0043143913111741705,0.14262010104759615,0.6253542240039057,-0.026826037781924897,0.07479553227826503,-0.03343743361989547,0.04206621624224381,0.06876447725998489,-0.0018365109680346797,0.0004015711612185696,0.0,0.3101315387381397,-0.052647295998129645,0.048974274062060286,-0.03735025376985107,0.03815339609228821,0.20689880898177987,0.002436193474190551,-0.002292653518068344,0.0,0.44826587045993466,-0.048374591555904414,0.053246978504285516,-0.040044478449137985,0.0354591714130013,LATE_CYCLE,0.8966364074476947,0.6307940997794156,0.4096836284035834,0.8519045711552478,0.07785740878960112,0.0,0.026506365083214467,0.10846465129022964,0.1877621223019393,-0.05653585900473479,75.0111868082044,77.2814889073992,81.49912706659218,0.0,0.0,0.0,0.15359703025797972,0.0,0.08449295503587269,0.6065796575827648,0.5469184950177026,0.840245124884625,0.1340237987268718,FALLING,RISING,FALLING,RISING
2018-01-10,recovery_accelerated,MID_CYCLE,0.07203051966038551,0.9089073535365488,0.0064672378138362005,0.012594888989229499,0.2561004765730167,0.1773529209243819,0.4480454801437842,False,1.0,1.0,1.0,1.0,1.0,-0.00751561851872018,0.011909941109522926,FALLING,0.0004678831239984405,0.0001112641481328001,RISING,0.0008439742421813383,0.0005988564016166983,RISING,0.0062037611525404684,-0.012620061659272451,RISING,MID_CYCLE,153.7196502685547,34004000,0.32578854705885646,-0.014561004173627878,0.01002342558069802,0.08368740644465691,0.567889687673056,-0.06567002101063366,0.0365480126633779,-0.02795816298152181,0.04800501414291785,0.39903957317666244,0.015052410650911507,-0.008932336597258561,0.1569384325624629,0.641140713790862,-0.03605660618609427,0.06616142748791728,-0.04691392515947839,0.02904925196496127,0.0678803673072679,-0.0008841099527169827,0.000952401015317697,0.0,0.30998150792146745,-0.05199312678972276,0.050224906884288795,-0.03702918754690213,0.03893398957753753,0.20729151245721308,0.0003927034754332148,-0.0020434899987573363,0.0,0.44939265307141263,-0.05071631336157256,0.05150172031243899,-0.040025078560977166,0.035938098563462494,LATE_CYCLE,0.9059360342406564,0.6428156691120708,0.4200792108115706,0.8655521274125709,0.0782130197465094,-0.002337643457331562,0.026506365083214467,0.10587345615045773,0.1290648315331217,-0.04229956075318908,72.29849202026324,77.2814889073992,81.49912706659218,0.0,0.0,0.0,0.14403343017788794,0.0,0.05807917418990477,0.5997003055133212,0.5980379756879912,0.8310951174889238,0.12321915504545403,FALLING,RISING,FALLING,RISING
2018-01-11,recovery_accelerated,MID_CYCLE,0.07025044178962606,0.9111473479601788,0.00631898698218398,0.01228322326801098,0.24956080935588867,0.0997928309278132,0.4658901739419325,False,1.0,1.0,1.0,1.0,1.0,0.0022399944236299874,0.009755612942350167,RISING,-0.00014825083165222012,-0.0006161339556506606,FALLING,-0.0003116657212185181,-0.0011556399633998564,FALLING,-0.0017800778707594556,-0.007983839023299924,FALLING,MID_CYCLE,154.771728515625,20473500,0.3243812002173568,-0.0014073468414996793,0.013153657332128199,0.0839985747764408,0.5647638256582728,-0.05236374272466997,0.04954904904167061,-0.024784880861547856,0.051092195525804254,0.4011691134945007,0.002129540317838241,-0.012922870333073266,0.1607864880535847,0.6415517389354166,-0.04882685556533205,0.05308593620100853,-0.05086140852674932,0.02501566786060279,0.06772401779477269,-0.000156349512495213,0.0007277604402217697,0.0,0.3081066432356887,-0.0511127453956655,0.050800046370675075,-0.037210777753454286,0.038666298633897825,0.20672566849336987,-0.00056584396384321,-0.0009585474392764248,0.0,0.44710829393428586,-0.0515222398470135,0.05039055191932708,-0.03889708563295248,0.03697999075439963,LATE_CYCLE,0.9122689065903851,0.6322380445498237,0.4072792321656276,0.8571968569340198,0.07866278597516407,0.0,0.026506365083214467,0.11344220487708911,0.12422107662005445,-0.0412847360322286,75.12790250150456,77.2814889073992,81.49912706659218,0.0,0.0,0.0,0.14261807390144815,0.0,0.05589948447902451,0.5863910626263047,0.630946790157859,0.8354243101869568,0.12634420006783692,FALLING,RISING,FALLING,FALLING
2018-01-17,recovery_accelerated,MID_CYCLE,0.04752563796618782,0.933246529083091,0.0065426530594808,0.012685179891240201,0.2071021939997259,0.2359702578373649,0.3536708413375767,False,1.0,1.0,1.0,1.0,1.0,0.009528071147308137,-0.0030430388282959298,RISING,0.0004819153885620405,0.000740164699827261,RISING,0.0009198802661035208,0.0014378039089778215,RISING,-0.010929866801973671,0.0008650702194908932,FALLING,MID_CYCLE,157.141357421875,33849900,0.375814130060394,0.01653885413094247,-0.011711881854945705,0.12528016772341594,0.6263480923973721,-0.03634472472681273,0.06942243298869767,-0.05110009572738784,0.027676332017496433,0.33984904023497037,-0.0204266630107649,0.012593506755907924,0.08931507789799231,0.5903830025719484,-0.0733102418685201,0.0324569158469903,-0.026794707116534214,0.05198172062835006,0.0695913219170734,0.0004953795242123721,-0.0006093226387031692,0.0,0.32012528425405146,-0.05238819933354283,0.05337895838196757,-0.03999753651114531,0.03877889123373897,0.21474550778756224,0.0033924293556100715,-0.00027230226225904985,0.0,0.4652794701245403,-0.04949114950214513,0.05627600821336527,-0.03966051613470119,0.03911591161018309,MID_CYCLE,0.9175208363257338,0.5711054131531936,0.3554095084460669,0.7868013178603204,0.08035122801904193,0.0,0.026506365083214467,0.1304895355454232,0.17315165296929208,-0.047124682556544784,78.22394578380556,79.51993350579377,81.49912706659218,0.0,0.0,0.0,0.16380565029940347,0.0,0.07791824383618144,0.6175349341618729,0.6376568460944986,0.8403147826992582,0.1422563642618332,RISING,FALLING,RISING,RISING
2018-01-18,recovery_accelerated,MID_CYCLE,0.04776239758354158,0.929391730264995,0.007778104018950139,0.015067768132513001,0.21781839152850352,0.3497087891819253,0.336548586741007,False,1.0,1.0,1.0,1.0,1.0,-0.003854798818096028,-0.013382869965404165,FALLING,0.001235450959469339,0.0007535355709072985,RISING,0.0023825882412728,0.0014627079751692793,RISING,0.00023675961735376144,0.011166626419327433,RISING,MID_CYCLE,157.16976928710938,26432200,0.3843743723112526,0.008560242250858607,-0.007978611880083863,0.11590812437399556,0.6528406202485096,-0.04745615896466059,0.06457664346637781,-0.049501991708417556,0.03354476794824983,0.32950979575437794,-0.010339244480592424,0.010087418530172476,0.0610435478171209,0.597976043691635,-0.06635564569611163,0.045677156734926776,-0.031435961298161216,0.05161079835850617,0.0697600610967066,0.0001687391796331983,-0.0003266403445791738,0.0,0.33822630903396367,-0.055847662035886,0.0561851403951524,-0.041850020172912866,0.04119673948375452,0.2163557708376628,0.0016102630501005633,-0.0017821663055095083,0.0,0.4848220187749198,-0.05440613816541864,0.05762666426561976,-0.0433055461338432,0.039741213522824184,MID_CYCLE,0.9166585622972159,0.5862312414590602,0.36520713781837355,0.807255345099747,0.08084299551993412,0.0,0.026506365083214467,0.1306939331455188,0.14666174382490885,-0.04582723526904686,78.28265120893735,79.51993350579377,81.49912706659218,0.0,0.0,0.0,0.15118446718591508,0.0,0.06599778472120899,0.6846942734053885,0.6325290151849534,0.8374898797250832,0.1334325557363156,RISING,FALLING,RISING,RISING
2018-01-22,recovery_accelerated,MID_CYCLE,0.045932909221806026,0.9313001147391949,0.00774824247983634,0.015018733559162462,0.21331611748550486,0.1598446437080518,0.3754123874571166,False,1.0,1.0,1.0,1.0,1.0,0.0019083844741999423,0.00576318329229597,RISING,-2.986153911379956e-05,-0.0012653124985831385,FALLING,-4.9034573350538804e-05,-0.002431622814623339,FALLING,-0.0018294883617355553,-0.002066247979089317,FALLING,MID_CYCLE,159.3498077392578,26081400,0.3717239191452432,-0.021001251353135186,-0.029352049540260994,0.15066507274283591,0.5927827655476505,-0.0683086721309818,0.02630616942471143,-0.0647447566120305,0.006040657531508509,0.3440627167126308,0.024331362870451123,0.03410980478264941,0.12300387031022347,0.5651215631150381,-0.022976057907395493,0.07163878364829773,-0.0012829022891200914,0.06950251185441891,0.06899768043795346,-0.0009968444685344857,-0.0012313082783158291,0.0,0.29005652684036076,-0.0483042652463811,0.04631057630931213,-0.03662401535008533,0.03416139879345367,0.21521568370417246,-0.0023332670487815343,-0.003526446964072727,0.0,0.4362745301065798,-0.04964068782662815,0.04497415372906508,-0.03891915403584223,0.031866260107696776,LATE_CYCLE,0.9001287545834716,0.5653899270406473,0.34663489716290924,0.7841449569183854,0.08194645279564128,0.0,0.026506365083214467,0.14637733245983187,0.22770628975257023,-0.06286422457655194,82.42971882078821,80.97323246184247,81.49912706659218,0.0,0.0,0.0,0.16586320262063506,0.0,0.1024678303886566,0.529030438663687,0.5593038288455403,0.8493271802074086,0.14798066070266214,FALLING,RISING,FALLING,FALLING
