window,rows,stable_vs_benchmark_regime,probability_within_band_share,delta_within_band_share,acceleration_within_band_share,transition_intensity_mean
2018_Q4,90,0.4777777777777778,0.475,0.6277777777777778,0.7,0.2510578825972313
2020_COVID,59,0.423728813559322,0.3220338983050847,0.6949152542372882,0.8050847457627118,0.19933068958226305
2022_TIGHTENING,132,0.6363636363636364,0.3465909090909091,0.625,0.740530303030303,0.19586868242069794
2023_RECOVERY,100,0.48,0.5125,0.755,0.7375,0.3141004843503735
2024_PULLBACK,90,0.06666666666666667,0.41388888888888886,0.6416666666666667,0.7,0.2771229105789535
