window,rows,stable_vs_benchmark_regime,probability_within_band_share,delta_within_band_share,acceleration_within_band_share,transition_intensity_mean
2018_Q4,103,0.5922330097087378,0.6310679611650486,0.866504854368932,0.8058252427184466,0.24477535224659766
2020_COVID,63,0.7301587301587301,0.7341269841269841,0.8928571428571429,0.9246031746031746,0.20193929494800683
2022_TIGHTENING,146,0.7534246575342466,0.6078767123287672,0.8681506849315068,0.8767123287671232,0.18947471325711537
2023_RECOVERY,113,0.9026548672566371,0.7190265486725663,0.9292035398230089,0.8893805309734514,0.30636495789530466
2024_PULLBACK,98,0.6428571428571429,0.6173469387755102,0.8494897959183674,0.8622448979591837,0.2733673391354889
