regime,probability_within_band_share,delta_within_band_share,acceleration_within_band_share,probability_mae,delta_mae,acceleration_mae,regime_agreement
MID_CYCLE,0.5042997301225154,0.7034223838845157,0.7627350534556,0.22080505679090517,0.028378303104138664,0.020690757506799103,0.9079093287724497
LATE_CYCLE,0.4138989939786297,0.7309664033381078,0.7704124135357449,0.18366179759430398,0.026061444932933105,0.018653576748010294,0.8421339601296275
BUST,0.8006115873075412,0.9437741714086738,0.9489477605273201,0.07816926063948539,0.010486791479085914,0.0079508038974043,0.7228380008167146
RECOVERY,0.5231317886683314,0.952183808880675,0.9329550727259549,0.10291828073505031,0.010123084332157813,0.008185714988011185,0.7307039029672886
