regime,probability_within_band_share,delta_within_band_share,acceleration_within_band_share,probability_mae,delta_mae,acceleration_mae,regime_agreement
MID_CYCLE,0.2364569892412119,0.5798149508516487,0.627051373864974,0.3806641732273374,0.037138067326550415,0.02398779598755011,0.8479592442846735
LATE_CYCLE,0.2725638112444522,0.7564566896193191,0.8803284832507975,0.29819096226021546,0.02111761735290444,0.010334784862110275,0.5079318177829716
BUST,0.5963262862443816,0.8409426762196891,0.8330654370962415,0.14443602441525094,0.017024744188494985,0.012470011648957873,0.6610528113277783
RECOVERY,0.3753260322249632,0.7725960303660477,0.7940280386968871,0.1843137532578418,0.02414554737023472,0.015702926859279185,0.6031766428342055
