date,protected_beta,overlay_beta,beta_overlay_multiplier,deployment_overlay_multiplier,overlay_state,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close,actual_regime_probability,brier,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY
2018-01-01,0.27320572888016526,0.27320572888016526,1.0,1.0,NEUTRAL,1.0,0.843499883396011,0.9887701549846554,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,147.63450622558594,0.2426910362321126,0.7723748475111273,0.31369676611119945,0.2426910362321126,0.2538718818720588,0.1897403157846291
2018-01-02,0.2658640506392719,0.2653565161666015,0.998091,0.997546,PENALTY,1.0,0.8204873206556581,0.9885853795037731,BUST,LATE_CYCLE,BUST,MID_CYCLE,DEPLOY_BASE,False,QQQ,150.22213745117188,0.24733649351086,0.7628714524128853,0.2753043977964663,0.24733649351086,0.29630215251906217,0.1810569561736115
2018-01-03,0.2701404571787656,0.2660237867518184,0.984761,0.980407,PENALTY,1.0,0.835722355281423,0.9896555041769255,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,151.6818389892578,0.2549449626691281,0.7469706816484519,0.2978171201412543,0.2549449626691281,0.2633540731728552,0.18388384401676244
2018-01-04,0.26477295795876593,0.2561387117997306,0.96739,0.958072,PENALTY,1.0,0.8153586065724284,0.9876383555660049,BUST,LATE_CYCLE,BUST,MID_CYCLE,DEPLOY_BASE,False,QQQ,151.94720458984375,0.2606325348009126,0.7368534468197251,0.2618661196729656,0.2606325348009126,0.3004417017000023,0.1770596438261196
2018-01-05,0.2683213532858597,0.2608059405016761,0.971991,0.963989,PENALTY,1.0,0.8323665661877176,0.9908523238443895,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,153.47323608398438,0.27049052265672796,0.714971580187325,0.2815400197998129,0.27049052265672796,0.26388712505880463,0.18408233248465455
2018-01-08,0.267630523707937,0.2563895064511562,0.957998,0.945997,PENALTY,1.0,0.8304593814826178,0.9909766209254933,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,154.0703582763672,0.28063820300972775,0.6945957085186711,0.2711905469306409,0.28063820300972775,0.2637168382023331,0.18445441185729833
2018-01-09,0.2689176356279322,0.2592764005553996,0.964148,0.953904,PENALTY,1.0,0.8360443881703978,0.9918098045708321,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,154.079833984375,0.2828738033254081,0.6896540012548226,0.27516659583936687,0.2828738033254081,0.2526280187467385,0.18933158208848647
2018-01-10,0.268537471643324,0.268537471643324,1.0,1.0,NEUTRAL,1.0,0.8351389034162845,0.9919545231068442,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,153.7196502685547,0.2858005853789329,0.6837164802177373,0.2707394735532958,0.2858005853789329,0.25341162269117684,0.19004831837659447
2018-01-11,0.26968871352356993,0.25265787126455647,0.93685,0.918808,PENALTY,1.0,0.8349790654649867,0.9899988939527233,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,154.771728515625,0.27708212104846086,0.702368690729171,0.28474186620274594,0.27708212104846086,0.2557035193336673,0.18247249341512586
2018-01-12,0.2686803711534457,0.2686803711534457,1.0,1.0,NEUTRAL,1.0,0.8312135083025748,0.9896598058982944,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,155.90914916992188,0.2837777676533583,0.6891610685903791,0.2754919602237097,0.2837777676533583,0.2601732756317446,0.1805569964911874
2018-01-15,0.2701410347993891,0.2701410347993891,1.0,1.0,NEUTRAL,1.0,0.8375113297515344,0.9905910429466956,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,155.90914916992188,0.28447882655331047,0.6872540851412463,0.2808687163579333,0.28447882655331047,0.2484302510777986,0.1862222060109576
2018-01-16,0.27023267652279626,0.27023267652279626,1.0,1.0,NEUTRAL,1.0,0.8386316311267631,0.9910276255936641,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,155.4636993408203,0.2870105779093568,0.6819393994977544,0.27858847780111134,0.2870105779093568,0.24567724620053122,0.18872369808900064
2018-01-17,0.2696107378842298,0.26934409286446226,0.999011,0.998728,PENALTY,1.0,0.8350174325933908,0.9901456664266483,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,157.141357421875,0.2912366631023152,0.674033242704519,0.27353984271278775,0.2912366631023152,0.2504293070077267,0.1847941871771704
2018-01-18,0.2710162454617943,0.2619016981106687,0.966369,0.956761,PENALTY,1.0,0.8416532875695326,0.9913343804181225,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,157.16976928710938,0.28986207245708445,0.6761000277560328,0.2784366258595919,0.28986207245708445,0.23924071351230486,0.1924605881710188
2018-01-19,0.2709311239253941,0.2709311239253941,1.0,1.0,NEUTRAL,1.0,0.8387724774948848,0.9899711161819681,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,157.66262817382812,0.2909478158057513,0.6747736159682365,0.2795661788867549,0.2909478158057513,0.24331093312452395,0.18617507218296986
2018-01-22,0.2708836729353431,0.2574955182841867,0.950576,0.936455,PENALTY,1.0,0.8378543797192846,0.98956805637021,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,159.3498077392578,0.2922266384009664,0.6724694653912231,0.2788394574254607,0.2922266384009664,0.24432280502979914,0.18461109914377374
2018-01-23,0.2701954496393551,0.2701954496393551,1.0,1.0,NEUTRAL,1.0,0.8350580764305785,0.9892178167374942,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,160.6672821044922,0.29810754584834165,0.6609536123279766,0.27093364533975955,0.29810754584834165,0.24736049213490516,0.18359831667699367
