date,protected_beta,overlay_beta,beta_overlay_multiplier,deployment_overlay_multiplier,overlay_state,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close
2018-01-01,0.27320572888016526,0.27320572888016526,1.0,1.0,NEUTRAL,1.0,0.843499883396011,0.9887701549846554,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,147.63450622558594
2018-01-02,0.2658640506392719,0.2653565161666015,0.998091,0.997546,PENALTY,1.0,0.8204873206556581,0.9885853795037731,BUST,LATE_CYCLE,BUST,MID_CYCLE,DEPLOY_BASE,False,QQQ,150.22213745117188
2018-01-03,0.2701404571787656,0.2660237867518184,0.984761,0.980407,PENALTY,1.0,0.835722355281423,0.9896555041769255,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,151.6818389892578
2018-01-04,0.26477295795876593,0.2561387117997306,0.96739,0.958072,PENALTY,1.0,0.8153586065724284,0.9876383555660049,BUST,LATE_CYCLE,BUST,MID_CYCLE,DEPLOY_BASE,False,QQQ,151.94720458984375
2018-01-05,0.2683213532858597,0.2608059405016761,0.971991,0.963989,PENALTY,1.0,0.8323665661877176,0.9908523238443895,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,153.47323608398438
2018-01-08,0.267630523707937,0.2563895064511562,0.957998,0.945997,PENALTY,1.0,0.8304593814826178,0.9909766209254933,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,154.0703582763672
2018-01-09,0.2689176356279322,0.2592764005553996,0.964148,0.953904,PENALTY,1.0,0.8360443881703978,0.9918098045708321,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,154.079833984375
2018-01-10,0.268537471643324,0.268537471643324,1.0,1.0,NEUTRAL,1.0,0.8351389034162845,0.9919545231068442,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,153.7196502685547
2018-01-11,0.26968871352356993,0.25265787126455647,0.93685,0.918808,PENALTY,1.0,0.8349790654649867,0.9899988939527233,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,154.771728515625
2018-01-12,0.2686803711534457,0.2686803711534457,1.0,1.0,NEUTRAL,1.0,0.8312135083025748,0.9896598058982944,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,155.90914916992188
2018-01-15,0.2701410347993891,0.2701410347993891,1.0,1.0,NEUTRAL,1.0,0.8375113297515344,0.9905910429466956,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,155.90914916992188
2018-01-16,0.27023267652279626,0.27023267652279626,1.0,1.0,NEUTRAL,1.0,0.8386316311267631,0.9910276255936641,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,155.4636993408203
