window,rows,raw_total_return,raw_max_drawdown,final_total_return,final_max_drawdown,benchmark_total_return,benchmark_max_drawdown,mean_beta_gap
2018Q4,66,-0.13770001199984339,-0.17983555867092893,-0.1261290566100327,-0.16544689329494666,-0.1690320995039124,-0.22699401116657714,0.04040552096566638
2020_COVID,54,-0.03906585440643984,-0.20083591886042307,-0.05414946127551068,-0.18598748986985258,-0.06505079636815503,-0.28559383229631397,0.12020948359857936
2022_H1,129,-0.24219690719534281,-0.26016919940560146,-0.19629239109194874,-0.2152385500963877,-0.30002504214647974,-0.323527447674787,0.09479863523657507
