date,target_beta,final_beta_base,raw_target_beta,raw_beta_base,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close,daily_price_return,return_l4,return_base
2020-01-01,3.490970338248456,0.5,5.1625660728863485,1.0658943100859715,0.28223012106828294,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,QLD,204.89633178710938,0.0,0.0,0.0
2020-01-02,0.005638760828412342,0.5,0.00965331513159182,1.0439122527936942,0.38782316244746556,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,True,QLD,208.31753540039062,0.016697241885403447,0.05828957615250315,0.008348620942701723
2020-01-03,0.005638760828412342,0.5,0.225436839873503,0.993300491286236,0.6055467324037604,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,False,CASH,206.40939331054688,-0.00915977661782652,-5.164978958960747e-05,-0.00457988830891326
2020-01-06,0.005638760828412342,0.5,2.070866055112773,0.95605852370585,0.8159915295536303,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_FAST,True,CASH,207.73931884765625,0.00644314445083638,3.633135054117853e-05,0.00322157222541819
2020-01-07,0.005638760828412342,0.5,1.9403213052825092,0.9010701386166584,0.8592179311647175,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,RECOVERY,DEPLOY_FAST,False,CASH,207.7103729248047,-0.00013933771908047898,-7.856920722713278e-07,-6.966885954023949e-05
2020-01-08,0.005638760828412342,0.5,0.8660934550722146,0.9801461233055653,0.7143152068138373,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_SLOW,False,CASH,209.27163696289062,0.007516543425836186,4.2383990634665394e-05,0.003758271712918093
2020-01-09,0.005638760828412342,0.5,2.114751453831007,0.9734843495418374,0.7190066801132661,RECOVERY,MID_CYCLE,RECOVERY,RECOVERY,DEPLOY_SLOW,False,CASH,211.0448455810547,0.008473239106351116,4.777856876266427e-05,0.004236619553175558
2020-01-10,0.005638760828412342,0.5,2.3992274134665057,0.9061365768222595,0.8385617581545874,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,RECOVERY,DEPLOY_SLOW,False,CASH,210.5051727294922,-0.00255714774780047,-1.4419144552760133e-05,-0.001278573873900235
2020-01-13,0.005638760828412342,0.5,2.2509416389454193,0.8993558125944434,0.8330552370641552,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,RECOVERY,DEPLOY_SLOW,False,CASH,212.9337615966797,0.01153695577024294,6.505413427637163e-05,0.00576847788512147
2020-01-14,0.005638760828412342,0.5,1.6242809439058654,0.9074641691270383,0.8547346359625304,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,RECOVERY,DEPLOY_SLOW,False,CASH,212.09535217285156,-0.003937418930381575,-2.220216362968485e-05,-0.0019687094651907877
