name,family,feature_count,features,selection_top1_accuracy,selection_mean_brier,selection_mean_entropy,selection_stable_critical_recall,selection_raw_critical_recall,selection_mean_true_regime_probability,selection_mean_true_regime_rank,selection_mean_expected_l1_error,selection_min_regime_true_probability,selection_max_regime_true_rank,holdout_top1_accuracy,holdout_mean_brier,holdout_mean_entropy,holdout_stable_critical_recall,holdout_raw_critical_recall,holdout_mean_true_regime_probability,holdout_mean_true_regime_rank,holdout_mean_expected_l1_error,holdout_min_regime_true_probability,holdout_max_regime_true_rank,rank::selection_top1_accuracy,rank::selection_mean_brier,rank::selection_mean_entropy,rank::selection_stable_critical_recall,rank::selection_mean_true_regime_probability,rank::selection_mean_true_regime_rank,rank::selection_mean_expected_l1_error,rank::selection_min_regime_true_probability,rank::selection_max_regime_true_rank,selection_composite_rank
qqq_core_8__move_21d__copper_gold_roc_126d,core_plus_optional,8,"real_yield_structural_z,move_21d,core_capex_momentum,copper_gold_roc_126d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.2053742802303263,0.9372787309711372,0.6910467227439896,0.0,0.0,0.2484527408842352,2.4280230326295587,1.5030945182315296,0.161626571054672,2.8314176245210727,0.6268587360594795,0.4859372252709601,0.5950296150652008,0.6387096774193548,0.6387096774193548,0.5256034076229595,1.5227695167286246,0.9487931847540813,0.2611412415444905,2.327485380116959,16.0,3.0,29.0,1.0,7.0,55.0,7.0,32.0,50.0,22.22222222222222
qqq_core_9__move_21d__copper_gold_roc_126d__labor_slack,core_plus_optional,9,"real_yield_structural_z,move_21d,core_capex_momentum,copper_gold_roc_126d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.2053742802303263,0.9372787309711372,0.6910467227439896,0.0,0.0,0.2484527408842352,2.4280230326295587,1.5030945182315296,0.161626571054672,2.8314176245210727,0.6268587360594795,0.4859372252709601,0.5950296150652008,0.6387096774193548,0.6387096774193548,0.5256034076229595,1.5227695167286246,0.9487931847540813,0.2611412415444905,2.327485380116959,16.0,3.0,29.0,1.0,7.0,55.0,7.0,32.0,50.0,22.22222222222222
qqq_core_9__copper_gold_roc_126d__usdjpy_roc_126d__spread_21d,core_plus_optional,9,"real_yield_structural_z,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.1727447216890595,0.9424816352097174,0.7074072899446995,0.0,0.0,0.2450509740424418,2.312859884836852,1.5098980519151164,0.1851639635928969,2.4980842911877397,0.6798327137546468,0.4556374311329965,0.5959462893596212,0.8129032258064516,0.8129032258064516,0.5425400003980209,1.4447026022304832,0.9149199992039582,0.3166627017798564,1.953216374269006,36.0,27.0,52.0,1.0,25.0,14.0,25.0,11.0,11.0,22.444444444444443
qqq_core_10__copper_gold_roc_126d__usdjpy_roc_126d__spread_21d__labor_slack,core_plus_optional,10,"real_yield_structural_z,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.1727447216890595,0.9424816352097174,0.7074072899446995,0.0,0.0,0.2450509740424418,2.312859884836852,1.5098980519151164,0.1851639635928969,2.4980842911877397,0.6798327137546468,0.4556374311329965,0.5959462893596212,0.8129032258064516,0.8129032258064516,0.5425400003980209,1.4447026022304832,0.9149199992039582,0.3166627017798564,1.953216374269006,36.0,27.0,52.0,1.0,25.0,14.0,25.0,11.0,11.0,22.444444444444443
drop_pmi_momentum__labor_slack,pair_prune,10,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute",0.16506717850287908,0.9422334328264911,0.7077843433090594,0.0,0.0,0.24521910672683217,2.3205374280230324,1.5095617865463355,0.1891759735846976,2.4904214559386975,0.6830855018587361,0.4581891302304546,0.5892223677647584,0.8129032258064516,0.8129032258064516,0.543598301985744,1.445167286245353,0.9128033960285119,0.33270975066251296,1.932748538011696,53.0,23.0,54.0,1.0,21.0,17.0,21.0,6.0,7.0,22.555555555555557
baseline_12,baseline,12,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.165067178502879,0.9422334328264912,0.7077843433090594,0.0,0.0,0.2452191067268321,2.3205374280230324,1.5095617865463355,0.1891759735846976,2.4904214559386975,0.6830855018587361,0.4581891302304546,0.5892223677647584,0.8129032258064516,0.8129032258064516,0.543598301985744,1.445167286245353,0.912803396028512,0.3327097506625129,1.932748538011696,54.0,24.0,54.0,1.0,22.0,17.0,21.0,6.0,7.0,22.88888888888889
drop_pmi_momentum,leave_one_out,11,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,labor_slack",0.165067178502879,0.9422334328264912,0.7077843433090594,0.0,0.0,0.2452191067268321,2.3205374280230324,1.5095617865463355,0.1891759735846976,2.4904214559386975,0.6830855018587361,0.4581891302304546,0.5892223677647584,0.8129032258064516,0.8129032258064516,0.543598301985744,1.445167286245353,0.912803396028512,0.3327097506625129,1.932748538011696,54.0,24.0,54.0,1.0,22.0,17.0,21.0,6.0,7.0,22.88888888888889
drop_labor_slack,leave_one_out,11,"real_yield_structural_z,move_21d,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.165067178502879,0.9422334328264912,0.7077843433090594,0.0,0.0,0.2452191067268321,2.3205374280230324,1.5095617865463355,0.1891759735846976,2.4904214559386975,0.6830855018587361,0.4581891302304546,0.5892223677647584,0.8129032258064516,0.8129032258064516,0.543598301985744,1.445167286245353,0.912803396028512,0.3327097506625129,1.932748538011696,54.0,24.0,54.0,1.0,22.0,17.0,21.0,6.0,7.0,22.88888888888889
drop_move_21d,leave_one_out,11,"real_yield_structural_z,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum,labor_slack",0.1708253358925144,0.943764511628939,0.7062500988916176,0.0,0.0,0.2448266970589855,2.307101727447217,1.5103466058820287,0.1849510163080226,2.4865900383141764,0.679368029739777,0.453840696163133,0.5953683712656385,0.8118279569892473,0.8118279569892473,0.5435224419779117,1.446561338289963,0.9129551160441768,0.3242660241715608,1.953216374269006,40.0,31.0,50.0,1.0,27.0,12.0,27.0,13.0,5.0,22.88888888888889
qqq_core_10__breakeven_accel__copper_gold_roc_126d__usdjpy_roc_126d__spread_21d,core_plus_optional,10,"real_yield_structural_z,breakeven_accel,core_capex_momentum,copper_gold_roc_126d,usdjpy_roc_126d,spread_21d,liquidity_252d,erp_absolute,spread_absolute,pmi_momentum",0.1708253358925144,0.943764511628939,0.7062500988916176,0.0,0.0,0.2448266970589855,2.307101727447217,1.5103466058820287,0.1849510163080226,2.4865900383141764,0.679368029739777,0.453840696163133,0.5953683712656385,0.8118279569892473,0.8118279569892473,0.5435224419779117,1.446561338289963,0.9129551160441768,0.3242660241715608,1.953216374269006,40.0,31.0,50.0,1.0,27.0,12.0,27.0,13.0,5.0,22.88888888888889
