mode,top1_accuracy,mean_brier,mean_entropy,lock_incidence,max_raw_target_beta_delta_vs_disabled,mean_target_beta_delta_vs_disabled,rows,approx_total_return,approx_max_drawdown,mean_target_beta,mean_raw_target_beta,mean_turnover,left_tail_mean_beta,penalty_days,reward_days
DISABLED,0.6737918215613383,0.4474854112652406,0.3331519865645226,0.012081784386617101,0.0,0.0,2152.0,1.4431310972548195,-0.1804237894130939,0.6113974909974437,0.8766973357208533,0.005600878171682238,0.5495198040363927,0.0,0.0
SHADOW,0.6737918215613383,0.4474854112652406,0.3331519865645226,0.012081784386617101,0.0,0.0,2152.0,1.4431310972548195,-0.1804237894130939,0.6113974909974437,0.8766973357208533,0.005600878171682238,0.5495198040363927,0.0,0.0
NEGATIVE_ONLY,0.6737918215613383,0.4474854112652406,0.3331519865645226,0.013940520446096654,0.0,0.03457520741130915,2152.0,1.3051703145060167,-0.1908817567762019,0.6116542537187717,0.8766973357208533,0.006398436743957022,0.555649932678071,657.0,0.0
FULL,0.6737918215613383,0.4474854112652406,0.3331519865645226,0.013940520446096654,0.0,0.03457520741130915,2152.0,1.3051703145060167,-0.1908817567762019,0.6116542537187717,0.8766973357208533,0.006398436743957022,0.555649932678071,657.0,200.0
