date,actual_regime,actual_regime_probability,predicted_regime,brier,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY
2018-01-01,LATE_CYCLE,0.03596559040181052,MID_CYCLE,1.7877744457952187,0.9257138287615154,0.03596559040181052,0.038288498485937336,3.208235073666504e-05
2018-01-02,LATE_CYCLE,0.0740562447377082,BUST,1.3386534405358532,0.300793077823493,0.0740562447377082,0.6251440849249292,6.5925138695900535e-06
2018-01-03,LATE_CYCLE,0.09201083444640569,MID_CYCLE,1.493833857424132,0.8125823134255235,0.09201083444640569,0.09539138498948242,1.546713858840021e-05
2018-01-04,LATE_CYCLE,0.13571360147695952,BUST,1.2725619792315344,0.15639109643652016,0.13571360147695952,0.7078932303043287,2.07178219167357e-06
2018-01-05,LATE_CYCLE,0.26998686416915646,MID_CYCLE,0.9028034071153118,0.5924191599559474,0.26998686416915646,0.1375636820861749,3.0293788721268404e-05
2018-01-08,LATE_CYCLE,0.4643583211989774,LATE_CYCLE,0.45896706439218593,0.38742661802338824,0.4643583211989774,0.1481744590739896,4.0601703644837193e-05
2018-01-09,LATE_CYCLE,0.4593341922111046,MID_CYCLE,0.5178790745869747,0.4696060319332103,0.4593341922111046,0.0709204783055859,0.00013929755009924183
2018-01-10,LATE_CYCLE,0.5233038040932743,LATE_CYCLE,0.39140207343408023,0.3973646219876989,0.5233038040932743,0.07914627659980877,0.0001852973192180457
2018-01-11,LATE_CYCLE,0.2538109562776586,MID_CYCLE,1.0133984683143662,0.6715948803880493,0.2538109562776586,0.07457007039822454,2.4092936067607364e-05
2018-01-12,LATE_CYCLE,0.3933120742832997,MID_CYCLE,0.6230372595139589,0.4916730650307539,0.3933120742832997,0.11499833543885127,1.652524709509241e-05
2018-01-15,LATE_CYCLE,0.35387228944711835,MID_CYCLE,0.7758259436340765,0.5965708805488618,0.35387228944711835,0.04947831450484438,7.85154991754397e-05
2018-01-16,LATE_CYCLE,0.3999558191483305,MID_CYCLE,0.6721009756704236,0.5569604970755575,0.3999558191483305,0.04292944916377125,0.00015423461234081353
2018-01-17,LATE_CYCLE,0.4905069115884208,LATE_CYCLE,0.46307870290128006,0.4467257879179159,0.4905069115884208,0.06270216845568974,6.513203797364169e-05
2018-01-18,LATE_CYCLE,0.42137793707508364,MID_CYCLE,0.6394800414703593,0.5513169296653584,0.42137793707508364,0.026945566292657475,0.0003595669669006033
2018-01-19,LATE_CYCLE,0.40834576519767085,MID_CYCLE,0.660934760671408,0.5564599850514722,0.40834576519767085,0.035104188316092154,9.006143476487917e-05
2018-01-22,LATE_CYCLE,0.42269915698434274,MID_CYCLE,0.6252658183478955,0.5390064021831672,0.42269915698434274,0.03823152427476029,6.291655772974792e-05
2018-01-23,LATE_CYCLE,0.5728030193673467,LATE_CYCLE,0.3268681469723517,0.3765824730488565,0.5728030193673467,0.05056209010227969,5.2417481517126576e-05
2018-01-24,LATE_CYCLE,0.5514477618424107,LATE_CYCLE,0.3703558709939325,0.409431088270663,0.5514477618424107,0.039024803813530594,9.634607339571431e-05
2018-01-25,LATE_CYCLE,0.8173646968402319,LATE_CYCLE,0.05085543225418532,0.11162738151741988,0.8173646968402319,0.07098665745986256,2.1264182485586106e-05
2018-01-26,LATE_CYCLE,0.7114632358578951,LATE_CYCLE,0.14800114378189888,0.2518208903816742,0.7114632358578951,0.036522338806607824,0.00019353495382282813
2018-01-29,LATE_CYCLE,0.8695319911085782,LATE_CYCLE,0.026501160225070004,0.08733833663303989,0.8695319911085782,0.04302630766068147,0.00010336459770050218
2018-01-30,LATE_CYCLE,0.7425547204064173,LATE_CYCLE,0.11761647982459748,0.22415984145628035,0.7425547204064173,0.03302583723764919,0.00025960089965313597
2018-01-31,LATE_CYCLE,0.46874208771158415,MID_CYCLE,0.5341816925504025,0.5010372158681939,0.46874208771158415,0.030140089564233627,8.06068559883247e-05
2018-02-01,LATE_CYCLE,0.592001558596831,LATE_CYCLE,0.3095844128175872,0.3770573465830404,0.592001558596831,0.030812749722556917,0.00012834509757166828
2018-02-02,LATE_CYCLE,0.6735349440340064,LATE_CYCLE,0.19185106958016107,0.2896965810161355,0.6735349440340064,0.03670863904461464,5.9835905243489434e-05
2018-02-05,LATE_CYCLE,0.4122704326640466,MID_CYCLE,0.6608230821362944,0.5609668969933465,0.4122704326640466,0.026705336655656563,5.733368695038498e-05
2018-02-06,LATE_CYCLE,0.25184847258937176,MID_CYCLE,1.0838882202448972,0.7235725217432385,0.25184847258937176,0.02450126553145971,7.774013593003596e-05
2018-02-07,LATE_CYCLE,0.4069248996688807,MID_CYCLE,0.6353661327810259,0.5286890990904972,0.4069248996688807,0.06415482216773197,0.00023117907289012162
2018-02-08,LATE_CYCLE,0.2130541495494621,MID_CYCLE,1.2108309206277896,0.7689132743616863,0.2130541495494621,0.017874580675044494,0.00015799541380713333
2018-02-09,LATE_CYCLE,0.36433147070933314,MID_CYCLE,0.7454435395057601,0.5818102495748892,0.36433147070933314,0.05353305609060136,0.00032522362517616987
2018-02-12,LATE_CYCLE,0.6889698482209977,LATE_CYCLE,0.19008366583455946,0.004362761753544427,0.6889698482209977,0.3054889328066658,0.0011784572187920847
2018-02-13,LATE_CYCLE,0.6983308007644543,LATE_CYCLE,0.13917771081833627,0.1128165059116767,0.6983308007644543,0.18826975654499947,0.0005829367788695698
2018-02-14,LATE_CYCLE,0.7671307066751576,LATE_CYCLE,0.09889794815746901,0.01951486123143288,0.7671307066751576,0.21042921296248654,0.002925219130923076
2018-02-15,LATE_CYCLE,0.6688650440181412,LATE_CYCLE,0.1655485796886415,0.19070313832592453,0.6688650440181412,0.13975002255318275,0.0006817951027514363
2018-02-16,LATE_CYCLE,0.3255501391303988,MID_CYCLE,0.8664076675503387,0.6406322219939491,0.3255501391303988,0.033395063959361274,0.00042257491629084495
2018-02-19,LATE_CYCLE,0.2574823264295319,MID_CYCLE,1.0615008028323023,0.7136804385528805,0.2574823264295319,0.028784302891682833,5.2932125904723246e-05
2018-02-20,LATE_CYCLE,0.225622716392625,MID_CYCLE,1.1676242888174697,0.7533443223618294,0.225622716392625,0.020890744118332638,0.00014221712721300674
2018-02-21,LATE_CYCLE,0.23984034484483802,MID_CYCLE,1.1236773938281244,0.7384904303969231,0.23984034484483802,0.02160027687011837,6.894788812057772e-05
2018-02-22,LATE_CYCLE,0.2206539852709032,MID_CYCLE,1.1907664237522593,0.7636393375242678,0.2206539852709032,0.015528799801020001,0.00017787740380899403
2018-02-23,LATE_CYCLE,0.26971171642393726,MID_CYCLE,1.0343255865093837,0.7074709763457517,0.26971171642393726,0.02211174323169993,0.0007055639986111022
2018-02-26,LATE_CYCLE,0.40024907112166125,MID_CYCLE,0.6827779197054196,0.567508307306409,0.40024907112166125,0.031794071077130115,0.00044855049479959814
2018-02-27,LATE_CYCLE,0.2335877436458393,MID_CYCLE,1.148798761900686,0.7490744765757885,0.2335877436458393,0.017275412116463232,6.236766190897844e-05
2018-02-28,LATE_CYCLE,0.2041030428809515,MID_CYCLE,1.2474586522528217,0.7834888232789238,0.2041030428809515,0.012326517645515227,8.161619460951328e-05
2018-03-01,LATE_CYCLE,0.19635138245866754,MID_CYCLE,1.2740581157109467,0.7925186021713041,0.19635138245866754,0.011012109034607196,0.0001179063354210463
2018-03-02,LATE_CYCLE,0.5310115541890744,LATE_CYCLE,0.4048838304286229,0.42814342928127574,0.5310115541890744,0.0403312299727977,0.0005137865568521422
2018-03-05,LATE_CYCLE,0.7363778005820399,LATE_CYCLE,0.10906206084402541,0.1811397547008788,0.7363778005820399,0.08218086843489902,0.00030157628218228016
2018-03-06,LATE_CYCLE,0.5285041163380361,LATE_CYCLE,0.40601398338872235,0.42626015138981205,0.5285041163380361,0.044807533535360516,0.0004281987367913268
2018-03-07,LATE_CYCLE,0.43392599834974477,MID_CYCLE,0.6212431243039045,0.5481835907243164,0.43392599834974477,0.017253828050891474,0.0006365828750472681
2018-03-08,LATE_CYCLE,0.5304132170808425,LATE_CYCLE,0.4176440417796208,0.44322764142032345,0.5304132170808425,0.026105335677579885,0.0002538058212541817
2018-03-09,LATE_CYCLE,0.5128442690336983,LATE_CYCLE,0.4532501088674641,0.4641412463996336,0.5128442690336983,0.022403865494500595,0.0006106190721674447
2018-03-12,LATE_CYCLE,0.4874944937252125,MID_CYCLE,0.5052605987925285,0.49212836985707575,0.4874944937252125,0.020207514462741494,0.0001696219549702352
2018-03-13,LATE_CYCLE,0.5091301788107763,LATE_CYCLE,0.46300004969192265,0.4708115925586931,0.5091301788107763,0.01957234180998704,0.0004858868205436377
2018-03-14,LATE_CYCLE,0.5558999122770893,LATE_CYCLE,0.3756118665988994,0.4218556770610339,0.5558999122770893,0.020539198267434073,0.0017052123944426537
2018-03-15,LATE_CYCLE,0.6967967162564924,LATE_CYCLE,0.16577535755609218,0.26993147466572354,0.6967967162564924,0.03124101714338466,0.002030791934399434
2018-03-16,LATE_CYCLE,0.6940852605679909,LATE_CYCLE,0.16793682852591746,0.27060904112527623,0.6940852605679909,0.0334721635974088,0.0018335347093240439
2018-03-19,LATE_CYCLE,0.6344140615737451,LATE_CYCLE,0.24199230723599083,0.3269057871489906,0.6344140615737451,0.03836319496838758,0.0003169563088766756
