date,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close
2018-01-01,1.0,0.9736658409117428,0.22816274429747052,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,147.63450622558594
2018-01-02,1.0,0.6726173678413807,0.6116091709021678,BUST,LATE_CYCLE,BUST,MID_CYCLE,DEPLOY_BASE,False,QQQ,150.22213745117188
2018-01-03,1.0,0.9339036873298365,0.44181422268412257,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,151.6818389892578
2018-01-04,1.0,0.6189108717306631,0.5812567825502872,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,151.94720458984375
2018-01-05,1.0,0.8772238155019534,0.6758070326662595,MID_CYCLE,LATE_CYCLE,MID_CYCLE,BUST,DEPLOY_PAUSE,False,QQQ,153.47323608398438
2018-01-08,1.0,0.8330451663935743,0.7263301952744671,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_PAUSE,False,QQQ,154.0703582763672
2018-01-09,0.3543772334916344,0.872686852159996,0.6500890694957135,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,154.079833984375
2018-01-10,0.3543772334916344,0.8557846306133625,0.6549544492002014,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,153.7196502685547
2018-01-11,0.3543772334916344,0.9119551828389628,0.5837288704449173,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,154.771728515625
2018-01-12,0.3543772334916344,0.8638400699486241,0.6960885250759229,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,155.90914916992188
