date,target_beta,raw_target_beta,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close,actual_regime_probability,brier,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY
2018-01-01,1.0,0.9736658409117428,0.22816274429747052,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,147.63450622558594,0.03596559040181064,1.7877744457952183,0.9257138287615153,0.03596559040181064,0.03828849848593733,3.2082350736665035e-05
2018-01-02,1.0,0.6726173678413807,0.6116091709021678,BUST,LATE_CYCLE,BUST,MID_CYCLE,DEPLOY_BASE,False,QQQ,150.22213745117188,0.07405624473770843,1.3386534405358526,0.3007930778234929,0.07405624473770843,0.6251440849249291,6.592513869590052e-06
2018-01-03,1.0,0.9339036873298365,0.44181422268412257,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,151.6818389892578,0.09201083444640601,1.4938338574241314,0.8125823134255235,0.09201083444640601,0.09539138498948209,1.5467138588400267e-05
2018-01-04,1.0,0.6189108717306631,0.5812567825502872,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QQQ,151.94720458984375,0.1357136014769599,1.2725619792315335,0.1563910964365201,0.1357136014769599,0.7078932303043284,2.0717821916735687e-06
2018-01-05,1.0,0.8772238155019534,0.6758070326662595,MID_CYCLE,LATE_CYCLE,MID_CYCLE,BUST,DEPLOY_PAUSE,False,QQQ,153.47323608398438,0.2699868641691572,0.9028034071153102,0.5924191599559469,0.2699868641691572,0.13756368208617478,3.0293788721268377e-05
2018-01-08,1.0,0.8330451663935743,0.7263301952744671,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_PAUSE,False,QQQ,154.0703582763672,0.4643583211989774,0.45896706439218593,0.38742661802338824,0.4643583211989774,0.1481744590739896,4.0601703644837193e-05
2018-01-09,0.3543772334916344,0.872686852159996,0.6500890694957135,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,154.079833984375,0.4593341922111055,0.5178790745869729,0.46960603193320954,0.4593341922111055,0.07092047830558579,0.00013929755009924158
2018-01-10,0.3543772334916344,0.8557846306133625,0.6549544492002014,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,153.7196502685547,0.5233038040932743,0.39140207343408023,0.3973646219876989,0.5233038040932743,0.07914627659980877,0.0001852973192180457
2018-01-11,0.3543772334916344,0.9119551828389628,0.5837288704449173,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,154.771728515625,0.2538109562776586,1.0133984683143662,0.6715948803880493,0.2538109562776586,0.07457007039822454,2.4092936067607364e-05
2018-01-12,0.3543772334916344,0.8638400699486241,0.6960885250759229,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,155.90914916992188,0.3933120742833007,0.6230372595139569,0.4916730650307535,0.3933120742833007,0.11499833543885075,1.6525247095092395e-05
