regime,probability_mae,probability_correlation,delta_sign_alignment,model_mean_probability,benchmark_mean_probability
MID_CYCLE,0.22232989751848156,0.6535046944762257,0.5750065223062875,0.34924554802091556,0.21707319111998089
LATE_CYCLE,0.18273585553149366,0.6940528670073194,0.63996869292982,0.3323299729663214,0.3759683860012195
BUST,0.10168649265908587,0.89889540455299,0.635794416905818,0.19050203570815716,0.19901984020940192
RECOVERY,0.13467744816062163,0.60509864238096,0.5971823636837986,0.1279224433046058,0.20793858266939766
