benchmark_regime,rows,mean_target_beta,mean_benchmark_beta,beta_mae
BUST,631,0.6220547127040791,0.6973200267973795,0.09881549166959241
LATE_CYCLE,1657,0.7279407632589703,0.8155738725372434,0.10955858667185778
MID_CYCLE,1230,0.835019087849056,0.8949654533581274,0.10449215390374822
RECOVERY,315,0.7688292284151635,0.8663155806534759,0.1270453296678579
