date,actual_regime,actual_regime_probability,predicted_regime,brier,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY
2018-01-01,LATE_CYCLE,0.031030631298096717,MID_CYCLE,1.7231132227467898,0.8812023797958151,0.031030631298096717,0.0877151550170484,5.183388903980854e-05
2018-01-02,LATE_CYCLE,0.03463881733688645,BUST,1.529646400861479,0.22599732892370827,0.03463881733688645,0.7393574204312251,6.433308180082179e-06
2018-01-03,LATE_CYCLE,0.047571697691736,MID_CYCLE,1.6056688139955302,0.8262092660677561,0.047571697691736,0.12620376931149407,1.5266929013789856e-05
2018-01-04,LATE_CYCLE,0.029111491482831455,BUST,1.6498464296933182,0.1419964126697504,0.029111491482831455,0.8288901932752784,1.9025721397353218e-06
2018-01-05,LATE_CYCLE,0.12994159417027548,MID_CYCLE,1.2422737010153988,0.6660966128050797,0.12994159417027548,0.2039298233412083,3.1969683436437236e-05
2018-01-08,LATE_CYCLE,0.23340812093267616,MID_CYCLE,0.9179775267829235,0.5184020763227436,0.23340812093267616,0.24814048956877643,4.9313175803779575e-05
2018-01-09,LATE_CYCLE,0.24705827485395052,MID_CYCLE,0.993052832152539,0.6435936927643282,0.24705827485395052,0.10917288419620724,0.00017514818551402233
2018-01-10,LATE_CYCLE,0.2916079371134314,MID_CYCLE,0.8546922777063282,0.5800578400566152,0.2916079371134314,0.12808514001337054,0.00024908281658285903
2018-01-11,LATE_CYCLE,0.07941867591585895,MID_CYCLE,1.5267885823977094,0.8177741333830352,0.07941867591585895,0.10278168253224068,2.550816886520992e-05
2018-01-12,LATE_CYCLE,0.13331734164203343,MID_CYCLE,1.2338600290310453,0.6648144126535676,0.13331734164203343,0.20184894126064648,1.930444375256006e-05
2018-01-15,LATE_CYCLE,0.13722856535754435,MID_CYCLE,1.3763602303130829,0.7918099798975592,0.13722856535754435,0.0708705110886038,9.094365629261395e-05
2018-01-16,LATE_CYCLE,0.16887332975482147,MID_CYCLE,1.2819116545541345,0.766120631418272,0.16887332975482147,0.06480161175570787,0.0002044270711986754
2018-01-17,LATE_CYCLE,0.2501633462842314,MID_CYCLE,0.9897217330084636,0.6454327625803834,0.2501633462842314,0.10432290343759272,8.09876977924314e-05
2018-01-18,LATE_CYCLE,0.278338665458942,MID_CYCLE,0.9877671710252498,0.6822372385124514,0.278338665458942,0.03904220536928814,0.00038189065931853853
2018-01-19,LATE_CYCLE,0.26588983397433574,MID_CYCLE,1.0054795350564711,0.6809921137205337,0.26588983397433574,0.05302387552241058,9.417678271995547e-05
2018-01-22,LATE_CYCLE,0.3993526985591347,MID_CYCLE,0.651165587821364,0.5348520631271831,0.3993526985591347,0.06573944439074725,5.579392293495224e-05
2018-01-23,LATE_CYCLE,0.6476714291884738,LATE_CYCLE,0.2024360030795311,0.2662726508793935,0.6476714291884738,0.08602008706752681,3.583286460589913e-05
2018-01-24,LATE_CYCLE,0.6156309088165449,LATE_CYCLE,0.2538492483309833,0.3191669525453331,0.6156309088165449,0.06513141695953932,7.072167858262221e-05
2018-01-25,LATE_CYCLE,0.77979735358685,LATE_CYCLE,0.07310331383272702,0.096431028104296,0.77979735358685,0.12375445393805062,1.7164370803337312e-05
