date,expected_target_beta,expected_deployment_state,rolling_drawdown,available_new_cash,erp,capitulation_score,tactical_stress_score,five_day_return,twenty_day_return
1999-05-05 04:00:00+00:00,1.0,DEPLOY_BASE,0.04238543946233653,45.76811218261719,,0,10,0.006968725044178337,-0.015332236762734541
1999-05-06 04:00:00+00:00,1.0,DEPLOY_BASE,0.0771777808036761,44.10525131225586,,20,10,-0.021662750585212165,-0.058591449477870094
1999-05-07 04:00:00+00:00,1.0,DEPLOY_BASE,0.06392320206166902,44.738739013671875,,20,10,-0.013961102891312138,-0.05095135555927799
1999-05-10 04:00:00+00:00,1.0,DEPLOY_BASE,0.054535290390727686,45.18742370605469,,20,10,0.0011693087183777262,-0.034949323403669075
1999-05-11 04:00:00+00:00,1.0,DEPLOY_BASE,0.03962405891413423,45.900089263916016,,0,10,0.03327387985875441,-0.00628539856993493
1999-05-12 04:00:00+00:00,1.0,DEPLOY_BASE,0.019743108680601584,46.85027694702149,,0,10,0.023644513894005792,0.05029558144500945
1999-05-13 04:00:00+00:00,1.0,DEPLOY_BASE,0.03796740617954775,45.97926712036133,,0,10,0.042489629972581655,0.016929891828131094
1999-05-14 04:00:00+00:00,1.0,DEPLOY_BASE,0.05619210275652764,45.10823822021485,,20,10,0.008259043832908652,0.027660620123711954
1999-05-17 04:00:00+00:00,1.0,DEPLOY_BASE,0.03921021499291477,45.91986846923828,,0,10,0.016209040107003414,0.09763418497665155
1999-05-18 04:00:00+00:00,1.0,DEPLOY_BASE,0.043490566353986404,45.715293884277344,,0,10,-0.0040260352997602,0.06847567071556626
1999-05-19 04:00:00+00:00,1.0,DEPLOY_BASE,0.03023574816515906,46.34879302978515,,0,10,-0.010703969110010259,0.03233399065364084
1999-05-20 04:00:00+00:00,1.0,DEPLOY_BASE,0.0568822683084631,45.075252532958984,,20,10,-0.019661352692635914,-0.02246682000608713
1999-05-21 04:00:00+00:00,1.0,DEPLOY_BASE,0.06558033368989624,44.65953826904297,,20,10,-0.009947184125909891,-0.044067874665038365
1999-05-24 04:00:00+00:00,1.0,DEPLOY_FAST,0.08932771154767405,43.524559020996094,,20,10,-0.0521628116127294,-0.08932771154767405
1999-05-25 04:00:00+00:00,1.0,DEPLOY_FAST,0.11914937634479317,42.099266052246094,,40,10,-0.07909886440158909,-0.10544025216114328
1999-05-26 04:00:00+00:00,1.0,DEPLOY_FAST,0.09457359230411533,43.27383804321289,,20,10,-0.06634379852343075,-0.04790913489561932
1999-05-27 04:00:00+00:00,1.0,DEPLOY_FAST,0.09540199848701536,43.23424530029297,,20,10,-0.040842971014302676,-0.04098329860645722
1999-05-28 04:00:00+00:00,1.0,DEPLOY_FAST,0.08049148535088302,43.946876525878906,,20,10,-0.01595766035176549,-0.031413700602805794
1999-06-01 04:00:00+00:00,1.0,DEPLOY_FAST,0.10092475958341995,42.97029113769531,,40,10,-0.012734600780984429,-0.047953320959311485
1999-06-02 04:00:00+00:00,1.0,DEPLOY_BASE,0.08573776518535814,43.696136474609375,,20,10,0.037931075101915734,-0.016340116239128344
1999-06-03 04:00:00+00:00,1.0,DEPLOY_FAST,0.09871594248104265,43.07585906982422,,20,10,-0.004575026906348589,-0.05882377455401122
1999-06-04 04:00:00+00:00,1.0,DEPLOY_BASE,0.07110317460190774,44.39558029174805,,20,10,0.026861460941176807,0.0065826397277892745
1999-06-07 04:00:00+00:00,1.0,DEPLOY_BASE,0.05177398965813218,45.31939697265625,,20,10,0.03123135374522268,0.012978862877805586
1999-06-08 04:00:00+00:00,1.0,DEPLOY_BASE,0.07552104825348283,44.18443298339844,,20,10,0.02825537862455918,-0.022196236040822548
1999-06-09 04:00:00+00:00,1.0,DEPLOY_BASE,0.06005789185591881,44.92347717285156,,20,10,0.028088082774900824,-0.021276910496821344
1999-06-10 04:00:00+00:00,1.0,DEPLOY_BASE,0.07082669333997826,44.40879440307617,,20,10,0.03094390598435459,-0.05211244635130241
1999-06-11 04:00:00+00:00,1.0,DEPLOY_FAST,0.08490959844927859,43.7357177734375,,20,10,-0.014863247962392245,-0.0487948044289358
1999-06-14 04:00:00+00:00,1.0,DEPLOY_FAST,0.10216756839678698,42.910892486572266,,40,10,-0.0531451132842119,-0.048712736749223384
1999-06-15 04:00:00+00:00,1.0,DEPLOY_FAST,0.08877546736427633,43.55095291137695,,20,10,-0.014337177807837942,-0.05158803012356761
1999-06-16 04:00:00+00:00,1.0,DEPLOY_BASE,0.04197143590990349,45.787899017333984,,0,10,0.01924209564536583,0.001588202259848348
1999-06-17 04:00:00+00:00,1.0,DEPLOY_BASE,0.03134031634756118,46.29600143432617,,0,10,0.042496245543636624,-0.0011390069084442622
1999-06-18 04:00:00+00:00,1.0,DEPLOY_BASE,0.02692204361795203,46.50716781616211,,0,60,0.06336811612607907,0.03176721599410026
