mode,top1_accuracy,mean_brier,mean_entropy,lock_incidence,max_raw_target_beta_delta_vs_disabled,mean_target_beta_delta_vs_disabled,rows,approx_total_return,approx_max_drawdown,mean_target_beta,mean_raw_target_beta,mean_turnover,left_tail_mean_beta,penalty_days,reward_days,acceptance_pass,acceptance_fail_reason
DISABLED,0.4493494423791822,0.6441592986144172,0.9302936279954768,0.0,0.0,0.0,2152.0,1.0885443831909534,-0.1871086194464162,0.554368029739777,0.8680667644193563,0.00023234200743494423,0.5555555555555556,0.0,0.0,True,PASS
SHADOW,0.4493494423791822,0.6441592986144172,0.9302936279954768,0.0,0.0,0.0,2152.0,1.0885443831909534,-0.1871086194464162,0.554368029739777,0.8680667644193563,0.00023234200743494423,0.5555555555555556,0.0,0.0,True,PASS
NEGATIVE_ONLY,0.4493494423791822,0.6441592986144172,0.9302936279954768,0.0,0.0,0.00023234200743494423,2152.0,1.096152764612862,-0.18566683763195302,0.554135687732342,0.8680667644193563,0.00023234200743494423,0.5555555555555556,657.0,0.0,True,PASS
FULL,0.4493494423791822,0.6441592986144172,0.9302936279954768,0.0,0.0,0.00023234200743494423,2152.0,1.096152764612862,-0.18566683763195302,0.554135687732342,0.8680667644193563,0.00023234200743494423,0.5555555555555556,657.0,200.0,True,PASS
