date,shadow_state,prob_RECOVERY,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,entropy,fdas_triggered,w_base,m_entropy,m_fdas,w_final_raw,w_final
2018-01-01,MID_CYCLE,0.013340257769031215,0.9405009607261123,0.01433570789454093,0.03182307361031561,0.20619678383807374,False,1.0,1.0,1.0,1.0,1.0
2018-01-03,MID_CYCLE,0.03245256784134165,0.9320704089601693,0.01204363935033588,0.023433383848153033,0.2293869049104228,False,1.0,1.0,1.0,1.0,1.0
2018-01-04,MID_CYCLE,0.066760621913802,0.8873451666286813,0.015715389123003822,0.030178822334512776,0.3301361852671751,False,1.0,1.0,1.0,1.0,1.0
2018-01-05,MID_CYCLE,0.17802644054539185,0.75452379360348,0.023324930755341117,0.04412483509578699,0.5374977067080756,False,1.0,1.0,1.0,1.0,1.0
2018-01-08,MID_CYCLE,0.21773554612516913,0.7078443650557225,0.025861765089192103,0.048558323729916336,0.5900098251553957,False,1.0,1.0,1.0,1.0,1.0
2018-01-09,MID_CYCLE,0.21064710157883837,0.7156544530427084,0.02564232827617283,0.04805611710228044,0.5823694161186576,False,1.0,1.0,1.0,1.0,1.0
2018-01-10,MID_CYCLE,0.10346158529552331,0.8375514207578308,0.020573901439893363,0.038413092506752615,0.424360606999176,False,1.0,1.0,1.0,1.0,1.0
2018-01-11,MID_CYCLE,0.047122111857832376,0.9145580769179856,0.01321895650381227,0.025100854720369797,0.270737105541155,False,1.0,1.0,1.0,1.0,1.0
2018-01-15,MID_CYCLE,0.05964089576538432,0.8863807098630339,0.01873511847994292,0.035243275891638955,0.33721520021872303,False,1.0,1.0,1.0,1.0,1.0
2018-01-17,MID_CYCLE,0.10940571273911448,0.8085613855642279,0.028577090282287592,0.05345581141437026,0.4847902222244315,False,1.0,1.0,1.0,1.0,1.0
2018-01-18,MID_CYCLE,0.1901934908680089,0.7047033246653226,0.036613884543136695,0.06848929992353182,0.6254204617507717,False,1.0,1.0,1.0,1.0,1.0
2018-01-22,MID_CYCLE,0.08216230927829869,0.8647354391939918,0.018476174889240356,0.03462607663846924,0.37596485702366267,False,1.0,1.0,1.0,1.0,1.0
2018-01-23,MID_CYCLE,0.06971707117086455,0.8885838972911786,0.014561847203159827,0.027137184334797063,0.3246858356704958,False,1.0,1.0,1.0,1.0,1.0
2018-01-24,MID_CYCLE,0.0343519875261215,0.9332563275729985,0.011325406626778337,0.021066278274101524,0.22530008999740053,False,1.0,1.0,1.0,1.0,1.0
2018-01-25,MID_CYCLE,0.03095047283299633,0.9375325152203069,0.011059933309712413,0.02045707863698453,0.21454581448150273,False,1.0,1.0,1.0,1.0,1.0
2018-01-26,MID_CYCLE,0.03888816468100005,0.9280090584202584,0.011616409115355188,0.021486367783386227,0.2379562284504687,False,1.0,1.0,1.0,1.0,1.0
2018-01-29,MID_CYCLE,0.048292687276541874,0.9154426875386037,0.012803510212026215,0.023461114972828045,0.267663773099238,False,1.0,1.0,1.0,1.0,1.0
2018-01-30,MID_CYCLE,0.04634573920155296,0.9024782843055388,0.018002383521637418,0.033173592971270545,0.30316075671326614,False,1.0,1.0,1.0,1.0,1.0
2018-01-31,MID_CYCLE,0.019895336972351796,0.9433187544247932,0.012830449686190477,0.023955458916664493,0.20072131670310078,False,1.0,1.0,1.0,1.0,1.0
2018-02-01,MID_CYCLE,0.01789247213450517,0.9439765998854605,0.01336460492733378,0.024766323052700587,0.19885736151971017,False,1.0,1.0,1.0,1.0,1.0
2018-02-05,MID_CYCLE,0.002187711489942217,0.8084350005967375,0.06055013114613305,0.1288271567671872,0.44660095359400953,False,1.0,1.0,1.0,1.0,1.0
2018-02-06,MID_CYCLE,0.002387180357811281,0.8532527776007355,0.0454530502846553,0.09890699175679805,0.37448847183183137,False,1.0,1.0,1.0,1.0,1.0
2018-02-07,MID_CYCLE,0.0023607640660888766,0.8159578924786539,0.05632585277414855,0.12535549068110852,0.43466952919945956,False,1.0,1.0,1.0,1.0,1.0
2018-02-08,MID_CYCLE,0.001567004251416588,0.563223967032372,0.1373817659593223,0.2978272627568891,0.6974691208941651,False,1.0,0.8813271977645872,1.0,0.8813271977645872,0.8813271977645872
2018-02-09,MID_CYCLE,0.00165508909515008,0.672095425303653,0.10127656500935328,0.22497292059184368,0.6096697450779559,False,1.0,1.0,1.0,1.0,1.0
