date,protected_beta,overlay_beta,beta_overlay_multiplier,deployment_overlay_multiplier,overlay_state,target_beta,raw_target_beta,entropy,prior_details,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close,actual_regime_probability,brier,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,prob_RECOVERY
2018-01-01,0.5,0.5,1.0,1.0,NEUTRAL,1.0,0.8583695403097893,0.9898040501513059,"{'base_weight': 1.0, 'posterior_weight': 0.0, 'transition_weight': 0.0, 'base_priors': {'MID_CYCLE': 0.24976076555023924, 'LATE_CYCLE': 0.25023923444976076, 'BUST': 0.24976076555023924, 'RECOVERY': 0.25023923444976076}, 'posterior_prior': {'MID_CYCLE': 0.24976076555023924, 'LATE_CYCLE': 0.25023923444976076, 'BUST': 0.24976076555023924, 'RECOVERY': 0.25023923444976076}, 'transition_prior': {'MID_CYCLE': 0.24976076555023924, 'LATE_CYCLE': 0.25023923444976076, 'BUST': 0.24976076555023924, 'RECOVERY': 0.25023923444976076}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,147.63450622558594,0.3148560540951909,0.6274945101299428,0.2583722528429272,0.3148560540951909,0.2022273636289348,0.22454432943294722
2018-01-02,0.5,0.4982275,0.996455,0.997546,PENALTY,1.0,0.8582954640095837,0.9896079767495025,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.24976490459390205, 'LATE_CYCLE': 0.2502702920160992, 'BUST': 0.24973791899431827, 'RECOVERY': 0.25022688439568047}, 'posterior_prior': {'MID_CYCLE': 0.2583722528429272, 'LATE_CYCLE': 0.3148560540951909, 'BUST': 0.2022273636289348, 'RECOVERY': 0.22454432943294722}, 'transition_prior': {'MID_CYCLE': 0.25866439728224727, 'LATE_CYCLE': 0.3136613647996086, 'BUST': 0.2030171128782919, 'RECOVERY': 0.22465712503985213}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,150.22213745117188,0.31571188613837803,0.6259276953555502,0.2580486305880794,0.31571188613837803,0.20197684515015832,0.22426263812338415
2018-01-03,0.5,0.4858495,0.971699,0.980407,PENALTY,1.0,0.8582215572049119,0.9894101076182229,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.24976890417722195, 'LATE_CYCLE': 0.25030188880098364, 'BUST': 0.24971485879237265, 'RECOVERY': 0.25021434822942173}, 'posterior_prior': {'MID_CYCLE': 0.2580486305880795, 'LATE_CYCLE': 0.3157118861383781, 'BUST': 0.20197684515015835, 'RECOVERY': 0.22426263812338418}, 'transition_prior': {'MID_CYCLE': 0.258341843529688, 'LATE_CYCLE': 0.3144733020117252, 'BUST': 0.2027931480222999, 'RECOVERY': 0.22439170643628706}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,151.6818389892578,0.31656500160392853,0.624367793303074,0.25772596818898413,0.31656500160392853,0.20172724249168505,0.22398178771540211
2018-01-04,0.5,0.469719,0.939438,0.958072,PENALTY,1.0,0.8581479308432723,0.9892104420880778,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.2497727634733529, 'LATE_CYCLE': 0.25033402741071265, 'BUST': 0.2496915840742546, 'RECOVERY': 0.25020162504167986}, 'posterior_prior': {'MID_CYCLE': 0.2577259681889842, 'LATE_CYCLE': 0.3165650016039286, 'BUST': 0.2017272424916851, 'RECOVERY': 0.22398178771540217}, 'transition_prior': {'MID_CYCLE': 0.25802066091069087, 'LATE_CYCLE': 0.31528148042436915, 'BUST': 0.20257038240844066, 'RECOVERY': 0.22412747625649937}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,151.94720458984375,0.3174154022120266,0.6228147990602071,0.2574043792732841,0.3174154022120266,0.20147835094298525,0.223701867571704
2018-01-05,0.5,0.473992,0.947984,0.963989,PENALTY,1.0,0.8580744594595586,0.9890090257746421,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.24977648170997171, 'LATE_CYCLE': 0.25036671045330383, 'BUST': 0.24966809387065406, 'RECOVERY': 0.2501887139660704}, 'posterior_prior': {'MID_CYCLE': 0.25740437927328413, 'LATE_CYCLE': 0.31741540221202663, 'BUST': 0.20147835094298527, 'RECOVERY': 0.22370186757170402}, 'transition_prior': {'MID_CYCLE': 0.25770096303690737, 'LATE_CYCLE': 0.3160858998632225, 'BUST': 0.20234861433655343, 'RECOVERY': 0.22386452276331675}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,153.47323608398438,0.31826313178912596,0.6212685958396437,0.25708372210024527,0.31826313178912596,0.20123038132279839,0.22342276478783038
2018-01-08,0.5,0.460998,0.921996,0.945997,PENALTY,1.0,0.8580013045798545,0.9888058457753258,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.2497800580453039, 'LATE_CYCLE': 0.25039994055900494, 'BUST': 0.2496443873147529, 'RECOVERY': 0.2501756140809382}, 'posterior_prior': {'MID_CYCLE': 0.25708372210024527, 'LATE_CYCLE': 0.31826313178912596, 'BUST': 0.20123038132279839, 'RECOVERY': 0.22342276478783038}, 'transition_prior': {'MID_CYCLE': 0.2573826099452502, 'LATE_CYCLE': 0.31688660125291357, 'BUST': 0.20212805288567257, 'RECOVERY': 0.22360273591616361}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,154.0703582763672,0.31910818912264566,0.619729192046092,0.2567641631789443,0.31910818912264566,0.20098303727576247,0.22314461042264758
2018-01-09,0.5,0.4667085,0.933417,0.953904,PENALTY,1.0,0.8579283781376023,0.9886009395523295,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.249783491718486, 'LATE_CYCLE': 0.25043372035841627, 'BUST': 0.24962046339473218, 'RECOVERY': 0.2501623245283655}, 'posterior_prior': {'MID_CYCLE': 0.2567641631789443, 'LATE_CYCLE': 0.31910818912264566, 'BUST': 0.20098303727576247, 'RECOVERY': 0.22314461042264758}, 'transition_prior': {'MID_CYCLE': 0.2570657675912722, 'LATE_CYCLE': 0.31768358167252725, 'BUST': 0.20190840601537, 'RECOVERY': 0.22334224472083064}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,154.079833984375,0.3199506110372038,0.6181964897864407,0.2564456012647856,0.3199506110372038,0.2007364640412634,0.2228673236567472
2018-01-10,0.5,0.5,1.0,1.0,NEUTRAL,1.0,0.8578557007154398,0.9883943219239588,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.24978678191880482, 'LATE_CYCLE': 0.25046805250115356, 'BUST': 0.24959632116933939, 'RECOVERY': 0.25014884441070223}, 'posterior_prior': {'MID_CYCLE': 0.2564456012647856, 'LATE_CYCLE': 0.3199506110372038, 'BUST': 0.2007364640412634, 'RECOVERY': 0.2228673236567472}, 'transition_prior': {'MID_CYCLE': 0.25675033622109644, 'LATE_CYCLE': 0.3184768752120291, 'BUST': 0.20168981797435778, 'RECOVERY': 0.22308297059251675}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,153.7196502685547,0.32079041829873495,0.6166704369011751,0.25612805152430795,0.32079041829873495,0.20049061440418162,0.22259091577277548
2018-01-11,0.5,0.441361,0.882722,0.918808,PENALTY,1.0,0.8577832502054071,0.9881860165775868,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.24978992784260834, 'LATE_CYCLE': 0.25050293964808856, 'BUST': 0.24957195967370663, 'RECOVERY': 0.2501351728355965}, 'posterior_prior': {'MID_CYCLE': 0.25612805152430795, 'LATE_CYCLE': 0.32079041829873495, 'BUST': 0.20049061440418162, 'RECOVERY': 0.22259091577277548}, 'transition_prior': {'MID_CYCLE': 0.25643633158223467, 'LATE_CYCLE': 0.31926650034562054, 'BUST': 0.201472242906869, 'RECOVERY': 0.22282492516527588}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,154.771728515625,0.32162763577327336,0.6151509676656445,0.25581148402162,0.32162763577327336,0.2002455177674148,0.2223153624376918
2018-01-12,0.5,0.5,1.0,1.0,NEUTRAL,1.0,0.8577109951685663,0.9879760494594716,"{'base_weight': 0.05, 'posterior_weight': 0.65, 'transition_weight': 0.3, 'base_priors': {'MID_CYCLE': 0.24979292867099653, 'LATE_CYCLE': 0.25053838447346105, 'BUST': 0.24954737795716, 'RECOVERY': 0.2501213088983824}, 'posterior_prior': {'MID_CYCLE': 0.25581148402162, 'LATE_CYCLE': 0.32162763577327336, 'BUST': 0.2002455177674148, 'RECOVERY': 0.2223153624376918}, 'transition_prior': {'MID_CYCLE': 0.2561237247180793, 'LATE_CYCLE': 0.3200524794935318, 'BUST': 0.20125571056752753, 'RECOVERY': 0.22256808522086133}}",LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,155.90914916992188,0.3224622867890905,0.613638018015159,0.2554958596652651,0.3224622867890905,0.2000012213803,0.2220406321653444
