window,rows,critical_days,raw_critical_recall,stable_critical_recall,raw_stable_divergence,mean_entropy,mean_beta_gap,first_raw_bust_date,first_stable_bust_date
2018Q4,66,66,1.0,1.0,0.015151515151515152,0.5219218837367019,0.03385615875779234,2018-11-21,
2020_COVID,54,16,1.0,1.0,0.16666666666666666,0.5446761516297269,0.13578557862322957,2020-02-28,2020-03-04
2022_H1,129,129,0.875968992248062,0.875968992248062,0.09302325581395349,0.6056882625102892,0.08376686196606592,2022-01-31,2022-02-25
