window,rows,raw_total_return,raw_max_drawdown,final_total_return,final_max_drawdown,benchmark_total_return,benchmark_max_drawdown,mean_beta_gap
2018Q4,66,-0.13770001199984339,-0.17983555867092893,-0.12274999999199576,-0.16768162453449165,-0.1690320995039124,-0.22699401116657714,0.03385615875779234
2020_COVID,54,-0.03906585440643984,-0.20083591886042307,-0.05494256107376383,-0.18448910468094126,-0.06505079636815503,-0.28559383229631397,0.13578557862322957
2022_H1,129,-0.24219690719534281,-0.26016919940560146,-0.19646037075446998,-0.21393433439686638,-0.30002504214647974,-0.323527447674787,0.08376686196606592
