actual_regime,rows,mean_true_regime_probability,mean_true_regime_rank,mean_entropy,mean_expected_l1_error,mean_prob_MID_CYCLE,mean_prob_LATE_CYCLE,mean_prob_BUST,mean_prob_RECOVERY
BUST,603,0.2931795065351158,1.900497512437811,0.5116330190653612,1.4136409869297681,0.05430039550309859,0.6291876779667918,0.2931795065351158,0.023332419994993726
LATE_CYCLE,588,0.4836806267325758,1.3962585034013606,0.5868936512634153,1.032638746534848,0.29914232283788755,0.4836806267325758,0.18912563982818595,0.02805141060135055
MID_CYCLE,1279,0.5930638730627136,1.5207193119624707,0.5812933264292772,0.8138722538745727,0.5930638730627136,0.22518052879389372,0.11299346669443669,0.06876213144895588
RECOVERY,464,0.3035841887617584,1.9224137931034482,0.6989185084278247,1.392831622476483,0.03892179148414985,0.38182919696225237,0.27566482279183924,0.3035841887617584
