date,target_beta,final_beta_base,raw_target_beta,raw_beta_base,entropy,predicted_regime,actual_regime,raw_regime,stable_regime,deployment_state,lock_active,target_bucket,close,daily_price_return,return_l4,return_base
2018-01-01,2.4896765034400414,1.0,3.4159427266293205,0.9736658409117428,0.22816274429747027,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QLD,147.63458251953125,0.0,0.0,0.0
2018-01-02,2.4896765034400414,1.0,1.755610127713385,0.6726173678413807,0.6116091709021675,BUST,LATE_CYCLE,BUST,MID_CYCLE,DEPLOY_BASE,True,QLD,150.22215270996094,0.01752685682629518,0.0436362036195848,0.01752685682629518
2018-01-03,1.2563817738344736,1.0,2.3180366306485616,0.9339036873298364,0.44181422268412257,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QLD,151.68182373046875,0.009716749455228824,0.024191562808497026,0.009716749455228824
2018-01-04,1.2563817738344736,1.0,0.482175470857422,0.618910871730663,0.5812567825502869,BUST,LATE_CYCLE,BUST,BUST,DEPLOY_PAUSE,False,QLD,151.94723510742188,0.0017497902545313693,0.0021984045838263967,0.0017497902545313693
2018-01-05,1.2563817738344736,1.0,2.1112390832392256,0.8772238155019534,0.6758070326662592,MID_CYCLE,LATE_CYCLE,MID_CYCLE,BUST,DEPLOY_PAUSE,False,QLD,153.47320556640625,0.01004276555546113,0.012617547602774008,0.01004276555546113
2018-01-08,1.2563817738344736,1.0,0.49177218702165443,0.8330451663935743,0.7263301952744671,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_PAUSE,False,QLD,154.0703582763672,0.003890924853997113,0.004888487069921533,0.003890924853997113
2018-01-09,0.6343544824510816,0.3543772334916345,1.5621568321117505,0.8726868521599962,0.6500890694957135,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QLD,154.0797576904297,6.100728373481523e-05,7.664843935557018e-05,6.100728373481523e-05
2018-01-10,0.6343544824510816,0.3543772334916345,0.43201220136122515,0.8557846306133625,0.6549544492002014,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,153.71961975097656,-0.0023373475195664906,-0.0014827068760829205,-0.000828302747692507
2018-01-11,0.6343544824510816,0.3543772334916345,0.16909144028489503,0.9119551828389628,0.5837288704449173,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,True,QQQ,154.77174377441406,0.006844435506293323,0.004341798343264507,0.0024255121195321428
2018-01-12,0.6343544824510816,0.3543772334916345,0.29671259548144824,0.863840069948624,0.6960885250759232,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,155.90914916992188,0.007348921500591299,0.00466182129508122,0.002604290470526736
2018-01-15,0.6343544824510816,0.3543772334916345,0.47577990519182134,0.9044942364080716,0.5952972379459549,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,155.90914916992188,0.0,0.0,0.0
2018-01-16,0.6343544824510816,0.3543772334916345,0.3662484747356369,0.8985595350496824,0.5979908336994003,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,155.46368408203125,-0.0028572094085711486,-0.001812483595628512,-0.001012529965715713
2018-01-17,0.6343544824510816,0.3543772334916345,1.9717869929053757,0.8705540466582684,0.6374149650699108,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,157.1412811279297,0.010790925583708866,0.006845272013821773,0.003824058355168849
2018-01-18,0.6343544824510816,0.3543772334916345,1.8756443087639663,0.9022875861353447,0.5717946583357644,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,157.16978454589844,0.00018138720623994686,0.00011506378733758909,6.427949633808891e-05
2018-01-19,0.6343544824510816,0.3543772334916345,0.7673357555170961,0.9007877589458964,0.5845251488846221,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,157.66259765625,0.0031355461342357227,0.0019890477451845914,0.0011111661645358448
2018-01-22,0.6343544824510816,0.3543772334916345,1.6075998102073117,0.8963506981215242,0.593311842870994,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,159.34976196289062,0.010701106868219457,0.006788295109043069,0.0037922286472579403
2018-01-23,0.6343544824510816,0.3543772334916345,0.8977521456482263,0.8601635928235425,0.604758068406302,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,160.66726684570312,0.008268006594947641,0.00524484704444014,0.0029299933036081344
2018-01-24,0.037901742026279606,0.3543772334916345,0.08616895526852077,0.8702076803320922,0.5924520169398041,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,159.6246795654297,-0.006489108209419503,-0.004116394879755373,-0.0022995922150819375
2018-01-25,0.037901742026279606,0.3543772334916345,1.7002257123420366,0.8010358583202709,0.43107582597736716,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,159.5677947998047,-0.0003563657310377,-1.3506882004797447e-05,-0.00012628790187636403
2018-01-26,0.037901742026279606,0.3543772334916345,2.160368398544318,0.8394655369204993,0.5136083831925012,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,True,CASH,162.01316833496094,0.015324981699623264,0.0005808435029365769,0.00543082461802242
2018-01-29,1.1871410184164606,0.3543772334916345,1.9009303602731629,0.8045907844077137,0.3396071800392666,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QLD,161.22650146484375,-0.0048555736438087305,-0.00018403469963724096,-0.001720704754907833
2018-01-30,1.1871410184164606,0.3543772334916345,1.0077669233916915,0.8350020973898573,0.4840331423393525,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,True,QLD,159.8995361328125,-0.008230441769652819,-0.009770695024443023,-0.0029166811847435585
2018-01-31,1.1871410184164606,0.3543772334916345,1.6153389255693442,0.8911895983611652,0.5826530803164826,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QLD,160.56297302246094,0.004149085767812366,0.004925549903898014,0.0014703415359168606
2018-02-01,1.1871410184164606,0.3543772334916345,2.0502153802467022,0.8662061479291125,0.5673351033263061,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QLD,159.1981658935547,-0.00850013613484435,-0.010090860267797678,-0.0030122547277684156
2018-02-02,0.04264876786461743,0.3543772334916345,0.09001672241355473,0.8469446752614158,0.5388444868230788,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,CASH,156.0229034423828,-0.01994534568504369,-0.023677937989211126,-0.007068176424900093
2018-02-05,0.04264876786461743,0.3543772334916345,0.03154772504547613,0.9041989785080575,0.5676316740789616,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,True,CASH,149.87142944335938,-0.03942673712193223,-0.0016815017591725824,-0.013971938026872273
2018-02-06,0.04264876786461743,0.3543772334916345,0.12139981665848947,0.9373874467299889,0.4854722936011584,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,153.8428497314453,0.026498848398499142,0.0011301432340272792,0.009390588586174356
2018-02-07,0.04264876786461743,0.3543772334916345,1.2062868210885713,0.8865607268896469,0.6354879900609635,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,151.8524169921875,-0.012938090673257796,-0.0005517936257351436,-0.004584964779453017
2018-02-08,0.04264876786461743,0.3543772334916345,1.2793278379829804,0.9484676792939661,0.4362680764289029,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,145.445068359375,-0.04219457786531078,-0.0017995467565231642,-0.014952797772256192
2018-02-09,0.04264876786461743,0.3543772334916345,0.96786236921155,0.9003997001753502,0.6075943293305099,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,CASH,147.95684814453125,0.017269611224974613,0.0007365276402461337,0.006119957049382581
2018-02-12,0.9641517829124557,0.3543772334916345,1.8479799362399758,0.7095794096743467,0.46930845281207384,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,150.58233642578125,0.017744959521476922,0.000756800659398502,0.00628840966364203
2018-02-13,0.9641517829124557,0.3543772334916345,0.2496896862744057,0.7662572552524964,0.5883586460038591,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,True,QQQ,151.3595428466797,0.005161338569623641,0.004976313784117458,0.001829060883416896
2018-02-14,0.9641517829124557,0.3543772334916345,1.6125651028721288,0.7416517740968176,0.45100793194457334,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,154.19358825683594,0.018723929504907533,0.018052710015283732,0.0066353343380415215
2018-02-15,0.9641517829124557,0.3543772334916345,1.6706863609727105,0.7964201594300555,0.6239558986120143,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,157.05599975585938,0.01856375178360592,0.017898274379707927,0.006578571000299661
2018-02-16,0.9641517829124557,0.3543772334916345,2.5280629496569516,0.9182346976858687,0.5535785487269752,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_SLOW,False,QQQ,156.3546600341797,-0.004465539188378109,-0.004305457570140195,-0.0015824854236259134
2018-02-19,0.9641517829124557,0.3543772334916345,2.5133986817017218,0.9341166764808427,0.4997044923040632,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,156.3546600341797,0.0,0.0,0.0
2018-02-20,0.9641517829124557,0.3543772334916345,0.6528462369267661,0.94444430637503,0.455440139752777,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,156.66744995117188,0.002000515475034881,0.0019288005619988386,0.0007089371396000641
2018-02-21,0.9641517829124557,0.3543772334916345,1.1248853450570182,0.9412386873847853,0.4687386391824524,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,156.2219696044922,-0.0028434773580506834,-0.0027415437644357655,-0.0010076636396421032
2018-02-22,0.5055316086986893,0.5174451243089279,0.9262932744870185,0.9481225907856903,0.4368338691401503,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,156.2029571533203,-0.00012170152008716961,-0.00011733873757520063,-4.312824800021776e-05
2018-02-23,0.5055316086986893,0.5174451243089279,1.9721455370266068,0.9350723414992237,0.49604127031131073,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,159.3971710205078,0.020449125454470307,0.01033767928747969,0.01058130026279725
2018-02-26,0.5055316086986893,0.5174451243089279,1.180535889959996,0.9040980052865827,0.5778627911631232,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,161.51084899902344,0.013260448507230294,0.006703575865926264,0.0068615544262159165
2018-02-27,0.5055316086986893,0.5174451243089279,1.4309133122211664,0.9446509819787915,0.45215403902784496,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,159.5109100341797,-0.012382691176713756,-0.006259841790583171,-0.0064073631752137135
2018-02-28,0.5055316086986893,0.5174451243089279,1.646200470786301,0.953024294220513,0.4115086405272563,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,158.48724365234375,-0.006417532077376942,-0.003244265314951807,-0.003320720683534844
2018-03-01,1.2221997953011643,0.5174451243089279,2.128232981443249,0.9552354596245048,0.4000879746813698,MID_CYCLE,LATE_CYCLE,MID_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,155.899658203125,-0.01632677425379958,-0.008253700453383644,-0.008448209733321128
2018-03-02,1.2221997953011643,0.5174451243089279,2.1750892597470255,0.8736834528314715,0.6006573277833037,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,MID_CYCLE,DEPLOY_BASE,False,QQQ,157.33091735839844,0.009180643317438397,0.01122058038330621,0.0047504791226278395
2018-03-05,1.2221997953011643,0.5174451243089279,0.9276287666363415,0.8116641632943609,0.535684359247334,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QLD,159.0749053955078,0.011084839943674707,0.013547889110105396,0.005735796382599328
2018-03-06,1.2221997953011643,0.5174451243089279,0.5206679356897079,0.8719382298383916,0.6080738495638313,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,True,QLD,159.74790954589844,0.004230737392031392,0.005170806374513749,0.0021891744357381126
2018-03-07,0.6009432101702327,0.5174451243089279,1.293420533525916,0.9046515445921101,0.5529454264281687,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QLD,160.11752319335938,0.002313730730571617,0.0028278412252866437,0.001197228685498017
2018-03-08,0.6009432101702327,0.5174451243089279,0.7505554969952523,0.8808900693271671,0.5729284884997792,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,160.99899291992188,0.005505142154228926,0.003308277798605801,0.0028486089663333053
2018-03-09,0.6009432101702327,0.5174451243089279,1.8863485174927765,0.8862902753532268,0.5686733823118357,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,True,QQQ,164.12684631347656,0.019427782353337086,0.011674993893902986,0.010052811254869305
2018-03-12,0.6009432101702327,0.5174451243089279,2.193446389546695,0.8924143062190838,0.5622877127235704,MID_CYCLE,LATE_CYCLE,MID_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,164.9988555908203,0.005313020367662791,0.0031928235154431075,0.0027491964846011385
2018-03-13,0.6009432101702327,0.5174451243089279,1.5520388039303594,0.8884363820149057,0.5619641981695952,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,162.75250244140625,-0.013614355938230127,-0.008181454761920183,-0.0070446821008434786
2018-03-14,0.6009432101702327,0.5174451243089279,2.212673079236065,0.8787209396503094,0.5635014701196784,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,162.72409057617188,-0.00017457098851436648,-0.00010490725024041421,-9.033090685254878e-05
2018-03-15,0.6009432101702327,0.5174451243089279,1.482081683730849,0.8452232273704492,0.5237677714002387,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,162.5819091796875,-0.0008737575117546692,-0.0005250786440242057,-0.0004521215642857543
2018-03-16,0.6009432101702327,0.5174451243089279,1.7646947805484572,0.8446302195586298,0.5283297556405704,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,162.09849548339844,-0.0029733547768515667,-0.0017868173645761763,-0.0015385479321225035
2018-03-19,0.6009432101702327,0.5174451243089279,0.5925178769232148,0.8539672858319449,0.5639805379081678,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,158.63995361328125,-0.021336051638254694,-0.012821755363850627,-0.011040235892218404
2018-03-20,0.6009432101702327,0.5174451243089279,1.891542699238125,0.8186596495972779,0.4406565317543946,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,159.16212463378906,0.0032915479903676825,0.001978033415760933,0.0017031954590446072
2018-03-21,0.6009432101702327,0.5174451243089279,1.8817844605130454,0.8267731572458307,0.48376388655151364,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,158.4690704345703,-0.004354391478584296,-0.002616741993478353,-0.0022531586399257876
2018-03-22,0.6009432101702327,0.5174451243089279,0.7361477792493236,0.8499266389270647,0.5502064711067648,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,154.5576171875,-0.024682755040740245,-0.014832934050027936,-0.012771971250342651
2018-03-23,0.6009432101702327,0.4747454445494816,0.5222559331331071,0.7775513490449788,0.35589189808708643,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,150.48486328125,-0.026351039698736978,-0.01583547838788224,-0.013635217012582449
2018-03-26,0.6009432101702327,0.4747454445494816,0.4355694867868082,0.7624204986932129,0.32425381384825025,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,156.07662963867188,0.03715833098091137,0.02233004670423689,0.017640748360249543
2018-03-27,0.6009432101702327,0.4747454445494816,0.610835410702335,0.7682091093711567,0.317503638059296,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,151.0259552001953,-0.032360222348273515,-0.01944665589979399,-0.015362868144451178
2018-03-28,0.6009432101702327,0.4747454445494816,0.7384591076445052,0.7608187235730891,0.3210270376377493,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,LATE_CYCLE,DEPLOY_SLOW,False,QQQ,149.28866577148438,-0.011503250725400371,-0.006912800418315157,-0.005461115879394345
