date,shadow_state,prob_RECOVERY,prob_MID_CYCLE,prob_LATE_CYCLE,prob_BUST,entropy,fdas_triggered,w_base,m_entropy,m_fdas,w_final_raw,w_final
2022-01-03,MID_CYCLE,0.030406678247481306,0.9316993892720147,0.012521215638153844,0.025372716842350172,0.23097184318387784,False,1.0,1.0,1.0,1.0,1.0
2022-01-04,MID_CYCLE,0.016062811065241905,0.9362236224039067,0.015865020640490578,0.03184854589036082,0.2189800291876627,False,1.0,1.0,1.0,1.0,1.0
2022-01-05,MID_CYCLE,0.005665263074560812,0.9276116626840553,0.02207485863325925,0.0446482156081245,0.23227278166527454,False,1.0,1.0,1.0,1.0,1.0
2022-01-06,MID_CYCLE,0.009795969786792763,0.9128681606277346,0.02565027183152658,0.051685597753945996,0.2709519817964633,False,1.0,1.0,1.0,1.0,1.0
2022-01-07,MID_CYCLE,0.008342049420441379,0.8439909113067908,0.048487522891494286,0.09917951638127354,0.4032422503644036,False,1.0,1.0,1.0,1.0,1.0
2022-01-10,MID_CYCLE,0.001447265757869636,0.9565324694293783,0.013710914087441989,0.028309350725310097,0.15270599568171897,False,1.0,1.0,1.0,1.0,1.0
2022-01-11,MID_CYCLE,0.0011406723364732795,0.9751749251708289,0.007689055047503543,0.01599534744519418,0.09797469927637598,False,1.0,1.0,1.0,1.0,1.0
2022-01-12,MID_CYCLE,0.0011764851866354808,0.960056861613927,0.012681261680820129,0.026085391518617433,0.14251989811962415,False,1.0,1.0,1.0,1.0,1.0
2022-01-14,MID_CYCLE,0.0014928403067103455,0.9616669530169666,0.012173035147136592,0.02466717152918649,0.13870995429900057,False,1.0,1.0,1.0,1.0,1.0
2022-01-17,MID_CYCLE,0.0015278426713043842,0.9719917043996583,0.008760871131903205,0.017719581797134037,0.10855384303495175,False,1.0,1.0,1.0,1.0,1.0
2022-01-19,MID_CYCLE,0.000879310673153487,0.6292930897317424,0.1218947478972165,0.2479328516978876,0.649180485360214,False,1.0,1.0,1.0,1.0,1.0
2022-01-20,BUST,0.0004048724043080063,0.26521224884138883,0.2423561018170692,0.49202677693723396,0.7556967421689317,False,0.3,0.7357581445776709,1.0,0.22072744337330125,0.5
2022-01-21,BUST,0.00013002587354978215,0.0703766214254122,0.30713061278050513,0.6223627399205329,0.6100019001351039,False,0.3,1.0,1.0,0.3,0.5
2022-01-24,BUST,1.0352834777318143e-05,0.005080342734000944,0.32095203981429465,0.6739572646169271,0.47438788912678426,False,0.3,1.0,1.0,0.3,0.5
2022-01-25,BUST,3.002024687610071e-06,0.00156789294221561,0.3159819508285248,0.6824471542045719,0.45801221948388815,False,0.3,1.0,1.0,0.3,0.5
2022-01-26,BUST,2.7301849823670487e-06,0.0014430745885919717,0.3180500832019406,0.6805041120244851,0.4586008954647776,False,0.3,1.0,1.0,0.3,0.5
2022-01-27,BUST,1.778662917871026e-06,0.0007921951226409928,0.32397796457381123,0.67522806164063,0.45877318207195456,False,0.3,1.0,1.0,0.3,0.5
2022-01-28,BUST,0.000419372991375589,0.10995535024822224,0.2808266453568694,0.6087986314035327,0.652667742211567,False,0.3,0.9933306444710825,1.0,0.29799919334132474,0.5
2022-01-31,BUST,0.0014691063509815374,0.37291148037796706,0.19370714877694367,0.43191226449410774,0.763175036884042,False,0.3,0.717062407789895,1.0,0.21511872233696852,0.5
2022-02-01,MID_CYCLE,0.0023229519965169004,0.5338989880814058,0.1432255935625948,0.3205524663594825,0.7156970753583456,False,1.0,0.8357573116041361,1.0,0.8357573116041361,0.8357573116041361
2022-02-02,MID_CYCLE,0.003054533252885064,0.8144842898124939,0.0572283584563221,0.12523281847829904,0.43909596979157844,False,1.0,1.0,1.0,1.0,1.0
2022-02-03,MID_CYCLE,0.0024977602668558043,0.6437645190282638,0.11180717102219853,0.2419305496826819,0.6396821035901157,False,1.0,1.0,1.0,1.0,1.0
2022-02-07,MID_CYCLE,0.0029053140050997878,0.7262493189841976,0.08440411677202453,0.1864412502386781,0.5562186550052074,False,1.0,1.0,1.0,1.0,1.0
2022-02-08,MID_CYCLE,0.0027994633133153627,0.6913778340546909,0.09481284206643975,0.2110098605655541,0.5938758990283403,False,1.0,1.0,1.0,1.0,1.0
2022-02-09,MID_CYCLE,0.0033264496534867244,0.7936753797213592,0.06334242973951526,0.13965574088563898,0.4703766704157851,False,1.0,1.0,1.0,1.0,1.0
2022-02-10,MID_CYCLE,0.0037997607143271787,0.7995470903488218,0.06207719762179625,0.13457595131505484,0.4634563595285137,False,1.0,1.0,1.0,1.0,1.0
2022-02-11,BUST,0.009251881885903432,0.32817285024930104,0.20969122860627173,0.4528840392585238,0.790078790781068,False,0.3,0.64980302304733,1.0,0.194940906914199,0.5
2022-02-14,MID_CYCLE,0.0034533023007713606,0.4368136457580155,0.17218742798420245,0.38754562395701075,0.758594469644429,False,1.0,0.7285138258889275,1.0,0.7285138258889275,0.7285138258889275
2022-02-15,MID_CYCLE,0.005887845222905666,0.6438606030824583,0.10663008199580122,0.24362146969883472,0.6466266988448255,True,1.0,1.0,0.15,0.15,0.5
2022-02-16,MID_CYCLE,0.004669927202973551,0.7813311747314263,0.06574580658358166,0.1482530914820183,0.49037781285665055,False,1.0,1.0,1.0,1.0,1.0
2022-02-17,MID_CYCLE,0.006919336140247553,0.7135393933189295,0.08577054404044686,0.1937707265003762,0.5798894534905823,False,1.0,1.0,1.0,1.0,1.0
2022-02-18,MID_CYCLE,0.006115459148824188,0.7375793573884898,0.0780291838718316,0.17827599959085436,0.549757473495218,False,1.0,1.0,1.0,1.0,1.0
2022-02-21,MID_CYCLE,0.005020958379253652,0.7233189887582424,0.08227299047331703,0.189387062389187,0.5637298074285325,True,1.0,1.0,0.15,0.15,0.5
2022-02-23,MID_CYCLE,0.005952912024746264,0.5697238747802094,0.1290119404670087,0.2953112727280357,0.7036214014125787,True,1.0,0.8659464964685534,0.15,0.129891974470283,0.5
2022-02-24,MID_CYCLE,0.009776872943957925,0.711324080721126,0.08512925874422199,0.19376978759069427,0.5880834610786387,True,1.0,1.0,0.15,0.15,0.5
2022-02-25,MID_CYCLE,0.006124000718949911,0.6893244447431595,0.090435899894616,0.21411565464327476,0.6023213881786537,True,1.0,1.0,0.15,0.15,0.5
2022-02-28,MID_CYCLE,0.018508595236497193,0.4140642354784209,0.17546205899452347,0.3919651102905584,0.8017092042516489,False,1.0,0.6207269893708778,1.0,0.6207269893708778,0.6207269893708778
2022-03-01,BUST,0.005115949456454407,0.321496197352168,0.2042040296683507,0.4691838235230268,0.7727640098180119,True,0.3,0.6930899754549704,0.15,0.031189048895473664,0.5
2022-03-02,BUST,0.006662034423840552,0.34255742354498425,0.1942683440888275,0.45651219794234765,0.7766416027753055,True,0.3,0.6833959930617364,0.15,0.030752819687778134,0.5
2022-03-03,BUST,0.046689015271866904,0.1934739804547496,0.23222974789627995,0.5276072563771036,0.8203777513493523,False,0.3,0.5740556216266193,1.0,0.17221668648798577,0.5
2022-03-04,BUST,0.04120730492160201,0.0883919966172389,0.2660214409611131,0.6043792575000461,0.72311451476629,False,0.3,0.8172137130842752,1.0,0.24516411392528253,0.5
2022-03-07,BUST,0.01534766009195463,0.055264792073565654,0.2770721971371967,0.652315350697283,0.6192281275110249,True,0.3,1.0,0.15,0.045,0.5
2022-03-08,BUST,0.007039265822967971,0.0358452329472991,0.28122520292616376,0.6758902983035692,0.5595678598918438,True,0.3,1.0,0.15,0.045,0.5
2022-03-09,BUST,0.015767347217407215,0.04809992208735638,0.27433208685773014,0.6618006438375064,0.6054993495953969,True,0.3,1.0,0.15,0.045,0.5
2022-03-10,BUST,0.01747871702352987,0.0770243590682206,0.26853096145928707,0.6369659624489625,0.6553822376962328,True,0.3,0.9865444057594179,0.15,0.044394498259173805,0.5
2022-03-14,BUST,0.008547502478072285,0.09747578314582114,0.26128435552424834,0.6326923588518583,0.6549492991848093,True,0.3,0.9876267520379769,0.15,0.04444320384170896,0.5
2022-03-15,BUST,0.004908390765308349,0.19421692983488684,0.2306711931997025,0.5702034862001023,0.7235361551693429,False,0.3,0.8161596120766428,1.0,0.2448478836229928,0.5
2022-03-16,BUST,0.009159164287808616,0.3691648801919978,0.17786485528886714,0.44381110023132636,0.7779867816782519,False,0.3,0.6800330458043704,1.0,0.2040099137413111,0.5
2022-03-17,MID_CYCLE,0.015029595245390012,0.5028845426136722,0.14258883313205983,0.33949702900887796,0.7597656147342446,False,1.0,0.7255859631643884,1.0,0.7255859631643884,0.7255859631643884
2022-03-18,MID_CYCLE,0.018261956353214034,0.62108977536946,0.10879547649537881,0.2518527917819473,0.6907160315918601,False,1.0,0.8982099210203498,1.0,0.8982099210203498,0.8982099210203498
2022-03-21,MID_CYCLE,0.03645909570516429,0.46049113456942753,0.1517532294265205,0.3512965402988878,0.8161761950258379,False,1.0,0.5845595124354053,1.0,0.5845595124354053,0.5845595124354053
2022-03-22,MID_CYCLE,0.032730679194060204,0.5977858541062511,0.1135145496404492,0.2559689170592395,0.7323779522999134,False,1.0,0.7940551192502165,1.0,0.7940551192502165,0.7940551192502165
2022-03-23,MID_CYCLE,0.027994387525483378,0.6670883031078968,0.09331355896633009,0.21160375040028964,0.6637186611456136,False,1.0,0.965703347135966,1.0,0.965703347135966,0.965703347135966
2022-03-24,MID_CYCLE,0.0817282904574285,0.4319639889713561,0.14843727978942514,0.3378704407817903,0.8779170978698503,False,1.0,0.4302072553253744,1.0,0.4302072553253744,0.5
2022-03-25,BUST,0.19145820388860546,0.24790162585407144,0.17224266353663725,0.3883975067206859,0.961208395029426,False,0.3,0.3,1.0,0.09,0.5
2022-03-28,RECOVERY,0.4317229135970743,0.12445946134151224,0.1392019637434927,0.3046156613179207,0.9078597929302364,True,1.0,0.35535051767440895,0.15,0.053302577651161344,0.5
2022-03-29,RECOVERY,0.4243706123662854,0.17560689813507152,0.12498187921576508,0.27504061028287796,0.9263263901962396,True,1.0,0.30918402450940097,0.15,0.046377603676410147,0.5
2022-03-30,RECOVERY,0.6151284060611093,0.057758168979921254,0.10432226643944938,0.22279115851952006,0.7458190132903549,True,1.0,0.7604524667741127,0.15,0.1140678700161169,0.5
2022-03-31,RECOVERY,0.7254990330850464,0.03463075473705117,0.07698814373154803,0.16288206844635442,0.607566108334427,True,1.0,1.0,0.15,0.15,0.5
2022-04-01,RECOVERY,0.764986049949873,0.031992556091740544,0.06433440314163465,0.13868699081675173,0.5522328707017263,True,1.0,1.0,0.15,0.15,0.5
2022-04-04,RECOVERY,0.9313023257714803,0.0113619753416185,0.019827366180896713,0.037508332706004496,0.22941673964209217,True,1.0,1.0,0.15,0.15,0.5
2022-04-05,RECOVERY,0.8204954245998417,0.03660068880948834,0.045866074243848406,0.09703781234682163,0.46967836723235257,True,1.0,1.0,0.15,0.15,0.5
2022-04-06,RECOVERY,0.5088761691946697,0.08559938356494974,0.13115240143778092,0.2743720458025997,0.8479014910600959,False,1.0,0.5052462723497602,1.0,0.5052462723497602,0.5052462723497602
2022-04-07,BUST,0.2747549579418702,0.25263272017311267,0.14880621623550694,0.3238061056495101,0.974645392919615,False,0.3,0.3,1.0,0.09,0.5
2022-04-08,MID_CYCLE,0.09503466639403167,0.559618550937213,0.10789915820271857,0.23744762446603657,0.815246610958114,False,1.0,0.586883472604715,1.0,0.586883472604715,0.586883472604715
2022-04-11,MID_CYCLE,0.08957657897449595,0.5583246045793857,0.10958373045303449,0.24251508599308375,0.8132354360847507,False,1.0,0.5919114097881233,1.0,0.5919114097881233,0.5919114097881233
2022-04-12,MID_CYCLE,0.017967958901550913,0.6969047389738268,0.08691699750323048,0.19821030462139175,0.6181824828019199,False,1.0,1.0,1.0,1.0,1.0
2022-04-13,MID_CYCLE,0.014518588062794822,0.705803060745291,0.08503387434827187,0.19464447684364228,0.6026840101276296,False,1.0,1.0,1.0,1.0,1.0
2022-04-14,MID_CYCLE,0.012190750577473618,0.6069258130426418,0.1155024287623981,0.2653810076174864,0.6911609040704115,False,1.0,0.8970977398239712,1.0,0.8970977398239712,0.8970977398239712
2022-04-15,MID_CYCLE,0.008927347462982895,0.5327468450020986,0.1406262974479337,0.31769951008698477,0.7341512500330543,False,1.0,0.7896218749173645,1.0,0.7896218749173645,0.7896218749173645
2022-04-19,MID_CYCLE,0.008712858683407104,0.6265355831573378,0.11249794718182407,0.25225361097743104,0.6690375977114732,False,1.0,0.9524060057213171,1.0,0.9524060057213171,0.9524060057213171
2022-04-20,MID_CYCLE,0.011013404766662674,0.5504615987797785,0.1363059577391732,0.3022190387143856,0.7296820172653586,False,1.0,0.8007949568366035,1.0,0.8007949568366035,0.8007949568366035
2022-04-21,BUST,0.006139599383051068,0.21076192096482396,0.24403864186438523,0.5390598377877397,0.7478429158346818,False,0.3,0.7553927104132956,1.0,0.22661781312398865,0.5
2022-04-22,BUST,0.003468130490216467,0.10017085901123021,0.2815026638564778,0.6148583466420755,0.653545191363603,False,0.3,0.9911370215909925,1.0,0.2973411064772977,0.5
2022-04-25,BUST,0.0023271016648538853,0.07170156819899602,0.28522111094153596,0.6407502191946142,0.6103145720929648,False,0.3,1.0,1.0,0.3,0.5
2022-04-26,BUST,0.0002465294676394818,0.007279425441405679,0.2997882722062909,0.6926857728846639,0.47130736720808725,False,0.3,1.0,1.0,0.3,0.5
2022-04-27,BUST,0.00026593229186826006,0.010756244348365791,0.29756071156798514,0.6914171117917809,0.4809692641914758,False,0.3,1.0,1.0,0.3,0.5
2022-04-28,BUST,0.0028896113774543627,0.11428023882490328,0.2635388433366276,0.6192913064610148,0.6585722993955901,False,0.3,0.9785692515110247,1.0,0.2935707754533074,0.5
2022-04-29,BUST,0.0013142876534933943,0.04706811984694415,0.2863198762160459,0.6652977162835165,0.5639311154975675,False,0.3,1.0,1.0,0.3,0.5
2022-05-02,BUST,0.0009213207625540326,0.03371871326578064,0.2851522435773467,0.6802077223943186,0.5342650755936191,False,0.3,1.0,1.0,0.3,0.5
2022-05-03,BUST,0.0015943224957355121,0.06600004565594855,0.27251605180196214,0.6598895800463537,0.5902466223485516,False,0.3,1.0,1.0,0.3,0.5
2022-05-04,BUST,0.007097966542005026,0.22734643674576838,0.22613315621179741,0.5394224405004292,0.7509391112700904,False,0.3,0.7476522218247741,1.0,0.22429566654743222,0.5
2022-05-06,BUST,0.0030708050965046305,0.14523455120590914,0.2495876506717024,0.6021069930258838,0.6851779807232763,False,0.3,0.9120550481918093,1.0,0.27361651445754276,0.5
2022-05-09,BUST,0.0023313951822662962,0.14244520445155376,0.24566779139692782,0.6095556089692521,0.6768662198628433,False,0.3,0.9328344503428917,1.0,0.2798503351028675,0.5
2022-05-10,BUST,0.0026200705737945405,0.17621801197660597,0.22684840563293898,0.5943135118166605,0.6977371491903103,False,0.3,0.8806571270242244,1.0,0.2641971381072673,0.5
2022-05-11,BUST,0.0009397836281379501,0.05008038718979216,0.26038343874160125,0.6885963904404686,0.5509539697535427,False,0.3,1.0,1.0,0.3,0.5
2022-05-12,BUST,0.001360167744487981,0.053274192145974904,0.258334380232811,0.6870312598767261,0.5574168219273019,False,0.3,1.0,1.0,0.3,0.5
2022-05-13,BUST,0.0034469278048667325,0.1425080760166703,0.22644931405154997,0.6275956821269131,0.6678978366960028,False,0.3,0.9552554082599931,1.0,0.2865766224779979,0.5
2022-05-16,BUST,0.003229604389071059,0.13961528149148217,0.23168497618323716,0.6254701379362096,0.667766026587968,False,0.3,0.95558493353008,1.0,0.286675480059024,0.5
2022-05-17,BUST,0.003487665338466606,0.13957128501728588,0.22910057729198685,0.6278404723522607,0.6668263779966721,False,0.3,0.9579340550083197,1.0,0.2873802165024959,0.5
2022-05-18,BUST,0.0024522526351423574,0.08819710107582734,0.2468033644312461,0.6625472818577842,0.6109547138167968,False,0.3,1.0,1.0,0.3,0.5
2022-05-19,BUST,0.0025661840060060915,0.08510120212693179,0.23957828363159078,0.6727543302354713,0.6015898863882151,False,0.3,1.0,1.0,0.3,0.5
2022-05-20,BUST,0.0032564150405106074,0.11082687826804155,0.23007740435576565,0.6558393023356821,0.6327415522697953,False,0.3,1.0,1.0,0.3,0.5
2022-05-23,BUST,0.0036404762648710206,0.11237647026314443,0.22989403001538222,0.6540890234566024,0.6360349091906589,False,0.3,1.0,1.0,0.3,0.5
2022-05-24,BUST,0.004619050849848377,0.1516091478286078,0.2221874874724086,0.6215843138491352,0.6785120116139065,False,0.3,0.9287199709652338,1.0,0.27861599128957015,0.5
2022-05-25,BUST,0.005215684938366647,0.20380482176592238,0.20485193382769126,0.5861275594680196,0.713766483449415,False,0.3,0.8405837913764627,1.0,0.2521751374129388,0.5
2022-05-26,BUST,0.005011273173920508,0.1987097272377145,0.212006585294615,0.58427241429375,0.714472724340275,False,0.3,0.8388181891493126,1.0,0.25164545674479377,0.5
2022-05-27,BUST,0.05318546584482465,0.20674088930311066,0.20695389967137157,0.533119745180693,0.824695868014769,False,0.3,0.5632603299630775,1.0,0.16897809898892324,0.5
2022-05-30,BUST,0.192504534833663,0.06493618125675184,0.2130194371496763,0.5295398467599088,0.8373374223197337,False,0.3,0.5316564442006657,1.0,0.1594969332601997,0.5
2022-06-01,BUST,0.1131454327165948,0.03702125682360829,0.24281658168353035,0.6070167287762666,0.7323851938573713,False,0.3,0.7940370153565717,1.0,0.23821110460697148,0.5
2022-06-02,BUST,0.20468989688324427,0.11150929778066505,0.19774080026302818,0.48606000507306263,0.8947999933658713,False,0.3,0.3880000165853217,1.0,0.1164000049755965,0.5
2022-06-03,BUST,0.23258604355127527,0.07743635951377979,0.19899556418489464,0.4909820327500505,0.8712888483779927,False,0.3,0.4467778790550183,1.0,0.13403336371650548,0.5
2022-06-06,BUST,0.20694323900921646,0.17484628354033274,0.17687336325848016,0.44133711419197064,0.9365231713266498,False,0.3,0.3,1.0,0.09,0.5
2022-06-07,RECOVERY,0.4082491418258537,0.083591048378578,0.14577680060077056,0.3623830091947978,0.8813110641359363,False,1.0,0.42172233966015926,1.0,0.42172233966015926,0.5
2022-06-08,RECOVERY,0.3907716990770639,0.10009597812799638,0.14314403203965737,0.3659882907552824,0.8971383310249608,False,1.0,0.3821541724375981,1.0,0.3821541724375981,0.5
2022-06-09,BUST,0.318641930532394,0.09111683249334109,0.16594803895528848,0.42429319801897647,0.8977335347660451,False,0.3,0.3806661630848873,1.0,0.1141998489254662,0.5
2022-06-10,BUST,0.06704534935402408,0.06622849535455805,0.24106366571128388,0.625662489580134,0.7194214612569099,False,0.3,0.8264463468577254,1.0,0.24793390405731763,0.5
2022-06-13,BUST,0.04489031478946831,0.026201709465033616,0.2552229877485613,0.6736849879969369,0.6126989001420492,False,0.3,1.0,1.0,0.3,0.5
2022-06-14,BUST,0.0024208311834182606,0.05843669226845413,0.24559696949387452,0.693545507054253,0.5620451878250454,False,0.3,1.0,1.0,0.3,0.5
2022-06-15,BUST,0.008892778127645851,0.21381660656696083,0.20242752311056134,0.574863092194832,0.7310479025563434,False,0.3,0.7973802436091415,1.0,0.23921407308274245,0.5
2022-06-16,BUST,0.0059128446225982815,0.16888537316871297,0.21729750906528777,0.6079042731434009,0.6960889182406774,False,0.3,0.8847777043983065,1.0,0.26543331131949194,0.5
2022-06-20,BUST,0.005093415118110339,0.12827408191008247,0.2179585988871783,0.6486739040846289,0.651467375525623,False,0.3,0.9963315611859427,1.0,0.2988994683557828,0.5
2022-06-22,BUST,0.008103025393183739,0.2169051340193005,0.19765909176792926,0.5773327488195865,0.7271994330251293,False,0.3,0.8070014174371767,1.0,0.242100425231153,0.5
2022-06-23,BUST,0.006143540665604971,0.1606137264823518,0.20460096468585184,0.6286417681661914,0.6791187826135388,False,0.3,0.9272030434661531,1.0,0.2781609130398459,0.5
2022-06-24,BUST,0.006145955805847288,0.15488572088833596,0.2042633792497087,0.6347049440561081,0.6731195039800625,False,0.3,0.9422012400498438,1.0,0.28266037201495314,0.5
2022-06-27,BUST,0.006339265080503606,0.15429228813835824,0.21021411194719916,0.629154334833939,0.6779465662159495,False,0.3,0.9301335844601263,1.0,0.2790400753380379,0.5
2022-06-28,BUST,0.004171093013724375,0.11432873391490657,0.2229447000927317,0.6585554729786373,0.6351344521367116,False,0.3,1.0,1.0,0.3,0.5
2022-06-29,BUST,0.004286650345780917,0.11684698802952187,0.21764064071551065,0.6612257209091865,0.6345222017911312,False,0.3,1.0,1.0,0.3,0.5
2022-06-30,BUST,0.0014371884598535815,0.03355261765859413,0.22704472653944385,0.7379654673421083,0.49351772791006016,False,0.3,1.0,1.0,0.3,0.5
2022-07-01,BUST,0.002583566353386246,0.06262052367804728,0.21215012783419243,0.7226457821343741,0.542862107860109,False,0.3,1.0,1.0,0.3,0.5
2022-07-04,BUST,0.002507107074517487,0.05318186971663485,0.21276036255213887,0.7315506606567087,0.5258564567044093,False,0.3,1.0,1.0,0.3,0.5
2022-07-06,BUST,0.0038616842745162264,0.07768379202230184,0.20483820906211891,0.713616314641063,0.5666241346533029,False,0.3,1.0,1.0,0.3,0.5
2022-07-07,BUST,0.009044512861736959,0.17624974481652,0.18677862679379165,0.6279271155279514,0.6882236740605906,False,0.3,0.9044408148485236,1.0,0.27133224445455706,0.5
2022-07-11,BUST,0.02368409754071355,0.390227687130387,0.1430999438822697,0.44298827144662967,0.7897062936099949,False,0.3,0.6507342659750128,1.0,0.19522027979250384,0.5
2022-07-12,BUST,0.01853898283771027,0.34590870887598574,0.15342457588132363,0.48212773240498036,0.7793994333166946,False,0.3,0.6765014167082636,1.0,0.20295042501247906,0.5
2022-07-13,BUST,0.013683991887051458,0.2707146848977659,0.1729945227058969,0.5426068005092858,0.7557681768631778,False,0.3,0.7355795578420556,1.0,0.22067386735261668,0.5
2022-07-14,MID_CYCLE,0.02922340931029935,0.42896730963707635,0.1302373749225816,0.4115719061300426,0.7914367351336205,False,1.0,0.646408162165949,1.0,0.646408162165949,0.646408162165949
2022-07-15,MID_CYCLE,0.032934442199131796,0.43485731038824177,0.12683946450681194,0.4053687829058146,0.7952627536579545,False,1.0,0.6368431158551138,1.0,0.6368431158551138,0.6368431158551138
2022-07-18,BUST,0.0338838915066879,0.39393004594688763,0.13911246269342487,0.4330735998529995,0.8068134630246769,False,0.3,0.6079663424383077,1.0,0.1823899027314923,0.5
2022-07-19,BUST,0.36531070603784127,0.06328852516586152,0.1417002060054669,0.4297005627908304,0.8529154509258948,False,0.3,0.492711372685263,1.0,0.1478134118055789,0.5
2022-07-20,RECOVERY,0.7618526008308902,0.017447812500663604,0.055896482498171314,0.16480310417027483,0.5310733732539211,False,1.0,1.0,1.0,1.0,1.0
2022-07-21,RECOVERY,0.904975476604546,0.006032702224412145,0.023175879885896013,0.06581594128514574,0.2795344505228758,False,1.0,1.0,1.0,1.0,1.0
2022-07-25,RECOVERY,0.8454375968295023,0.004906265534054519,0.0386511100118119,0.1110050276246313,0.38793028719670686,False,1.0,1.0,1.0,1.0,1.0
2022-07-26,RECOVERY,0.8137850536518397,0.007575180703100634,0.04620079276268622,0.1324389728823734,0.4432505504851724,False,1.0,1.0,1.0,1.0,1.0
2022-07-27,RECOVERY,0.6041344683535416,0.03532590219996118,0.0918260517441645,0.2687135777023327,0.7177009355179397,False,1.0,0.8307476612051509,1.0,0.8307476612051509,0.8307476612051509
2022-07-28,RECOVERY,0.6882106724465682,0.03449995893076604,0.0772366932249723,0.20005267539769345,0.6441813580929698,False,1.0,1.0,1.0,1.0,1.0
2022-07-29,RECOVERY,0.8998110970711395,0.007887018113720392,0.026044318916374997,0.06625756589876522,0.2943327269244079,False,1.0,1.0,1.0,1.0,1.0
2022-08-01,RECOVERY,0.9564564261257149,0.003206142719021928,0.011612982304186502,0.02872444885107674,0.15487945387635615,False,1.0,1.0,1.0,1.0,1.0
2022-08-02,RECOVERY,0.9608423234847789,0.0026436454551519314,0.009933752173448598,0.02658027888662075,0.1416057894970379,False,1.0,1.0,1.0,1.0,1.0
2022-08-03,RECOVERY,0.9786839342777294,0.0015856665612912003,0.005848605155439583,0.01388179400553984,0.08710663899701239,False,1.0,1.0,1.0,1.0,1.0
2022-08-04,RECOVERY,0.9693070491924476,0.0023389799184851483,0.008144231079552323,0.020209739809514824,0.11715706109677762,False,1.0,1.0,1.0,1.0,1.0
2022-08-05,RECOVERY,0.9400609081754655,0.004431211343778592,0.015168304509535113,0.04033957597122084,0.19848531274098746,False,1.0,1.0,1.0,1.0,1.0
2022-08-08,RECOVERY,0.9213544830594752,0.00785571383547396,0.021457572782161222,0.04933223032288955,0.24844931943814372,False,1.0,1.0,1.0,1.0,1.0
2022-08-09,RECOVERY,0.9034577674026272,0.010276101145908628,0.026251322114742313,0.06001480933672194,0.29081487578805826,False,1.0,1.0,1.0,1.0,1.0
2022-08-10,RECOVERY,0.8777024273792848,0.014061767114537736,0.03272240772072101,0.07551339778545646,0.34728782132059616,False,1.0,1.0,1.0,1.0,1.0
2022-08-11,RECOVERY,0.8512485505217692,0.019888797771709238,0.03962411704659879,0.08923853465992283,0.4029229830606372,False,1.0,1.0,1.0,1.0,1.0
2022-08-12,RECOVERY,0.8944411759247696,0.01320421339809482,0.028842611337986473,0.06351199933914932,0.31325489419234204,False,1.0,1.0,1.0,1.0,1.0
2022-08-15,RECOVERY,0.9409969799987908,0.0064814656054089405,0.01631815194847282,0.03620340244732748,0.19994858523996037,False,1.0,1.0,1.0,1.0,1.0
2022-08-16,RECOVERY,0.9095817014319333,0.010522301344543884,0.024855331705562072,0.05504066551796078,0.2781197221009309,False,1.0,1.0,1.0,1.0,1.0
2022-08-17,RECOVERY,0.8111579748216154,0.022635843649680253,0.04729829101552541,0.11890789051317897,0.4710705044413925,False,1.0,1.0,1.0,1.0,1.0
2022-08-18,RECOVERY,0.536091096405911,0.07699101313935658,0.10892977140527958,0.27798811904945286,0.8144111858979804,False,1.0,0.5889720352550489,1.0,0.5889720352550489,0.5889720352550489
2022-08-19,RECOVERY,0.43700190452555393,0.10661185410096997,0.1277961163964082,0.3285901249770679,0.8865612485022861,False,1.0,0.40859687874428474,1.0,0.40859687874428474,0.5
2022-08-22,BUST,0.08654310252264853,0.28865000320846823,0.17307360140150893,0.4517332928673743,0.8894168954965861,False,0.3,0.40145776125853483,1.0,0.12043732837756044,0.5
2022-08-23,MID_CYCLE,0.039414099386622804,0.5237397467031212,0.11823907344200678,0.31860708046824937,0.7812572012627916,False,1.0,0.671856996843021,1.0,0.671856996843021,0.671856996843021
2022-08-24,BUST,0.02186001620098366,0.4123934065003865,0.15187476799780292,0.41387180930082684,0.7936389953052926,False,0.3,0.6409025117367686,1.0,0.19227075352103057,0.5
2022-08-25,MID_CYCLE,0.024640721160255338,0.44702997347578977,0.14319602096891856,0.38513328439503647,0.7912884644783195,False,1.0,0.6467788388042014,1.0,0.6467788388042014,0.6467788388042014
2022-08-26,BUST,0.011362484226120715,0.19746753436823725,0.2147284043232051,0.5764415770824369,0.7351165707072744,False,0.3,0.7872085732318139,1.0,0.23616257196954415,0.5
2022-08-29,BUST,0.007940718390343124,0.16388986901610786,0.22323826368549002,0.6049311489080591,0.702315734350314,False,0.3,0.869210664124215,1.0,0.2607631992372645,0.5
2022-08-30,BUST,0.006216497797258459,0.13348949609357713,0.2277920771127083,0.6325019289964561,0.6687646158821856,False,0.3,0.953088460294536,1.0,0.28592653808836077,0.5
2022-08-31,BUST,0.0018165785222234655,0.03867472902415947,0.24988204436268255,0.7096266480909345,0.5245623194770904,False,0.3,1.0,1.0,0.3,0.5
2022-09-01,BUST,0.001355949198382072,0.02862054567257575,0.2480930378709819,0.7219304672580603,0.49896633042920707,False,0.3,1.0,1.0,0.3,0.5
